"Step","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_19 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_18 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_17 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_16 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_15 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_14 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_13 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_12 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_11 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_10 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"9300","-141.84790465663446","-141.84790465663446","-141.84790465663446","-193.16459053165244","-193.16459053165244","-193.16459053165244","-218.65095823608962","-218.65095823608962","-218.65095823608962","-218.00971363874456","-218.00971363874456","-218.00971363874456","-148.51993692723636","-148.51993692723636","-148.51993692723636","-147.7304887971673","-147.7304887971673","-147.7304887971673","-241.4719183668165","-241.4719183668165","-241.4719183668165","-100.53178916698815","-100.53178916698815","-100.53178916698815","-173.35053732349408","-173.35053732349408","-173.35053732349408","-137.2587160941113","-137.2587160941113","-137.2587160941113","-147.22642706958308","-147.22642706958308","-147.22642706958308","-169.97970195977663","-169.97970195977663","-169.97970195977663","-127.01901120917691","-127.01901120917691","-127.01901120917691","-207.00952407859523","-207.00952407859523","-207.00952407859523","-169.05337585093292","-169.05337585093292","-169.05337585093292","-149.95557405662404","-149.95557405662404","-149.95557405662404","-142.26736573580988","-142.26736573580988","-142.26736573580988","-119.51423671195903","-119.51423671195903","-119.51423671195903","-182.9782409063709","-182.9782409063709","-182.9782409063709","-123.81724977977368","-123.81724977977368","-123.81724977977368"
"9600","-142.48159332628586","-142.48159332628586","-142.48159332628586","-218.632197854539","-218.632197854539","-218.632197854539","-219.6715117104885","-219.6715117104885","-219.6715117104885","-217.77017941584026","-217.77017941584026","-217.77017941584026","-149.12188833907433","-149.12188833907433","-149.12188833907433","-147.51489287292551","-147.51489287292551","-147.51489287292551","-222.27467210051705","-222.27467210051705","-222.27467210051705","-126.27526755328745","-126.27526755328745","-126.27526755328745","-171.83301627739397","-171.83301627739397","-171.83301627739397","-136.38711348231365","-136.38711348231365","-136.38711348231365","-146.6296933674493","-146.6296933674493","-146.6296933674493","-172.14925990814513","-172.14925990814513","-172.14925990814513","-125.21549300190762","-125.21549300190762","-125.21549300190762","-206.05507978182487","-206.05507978182487","-206.05507978182487","-169.1705381447442","-169.1705381447442","-169.1705381447442","-146.56750531183425","-146.56750531183425","-146.56750531183425","-142.82418019025505","-142.82418019025505","-142.82418019025505","-223.95929044195924","-223.95929044195924","-223.95929044195924","-185.32439492918138","-185.32439492918138","-185.32439492918138","-123.00600026614025","-123.00600026614025","-123.00600026614025"
"9900","-141.052658818093","-141.052658818093","-141.052658818093","-218.4122657043381","-218.4122657043381","-218.4122657043381","-243.0254965058689","-243.0254965058689","-243.0254965058689","-217.37396781911838","-217.37396781911838","-217.37396781911838","-149.6147480010774","-149.6147480010774","-149.6147480010774","-147.70660630537014","-147.70660630537014","-147.70660630537014","-193.78014996894825","-193.78014996894825","-193.78014996894825","-98.97980257328707","-98.97980257328707","-98.97980257328707","-173.0570107033115","-173.0570107033115","-173.0570107033115","-151.53573605708797","-151.53573605708797","-151.53573605708797","-147.35258588906206","-147.35258588906206","-147.35258588906206","-171.45242647543964","-171.45242647543964","-171.45242647543964","-124.76976030640772","-124.76976030640772","-124.76976030640772","-204.06718085601156","-204.06718085601156","-204.06718085601156","-169.01082546251322","-169.01082546251322","-169.01082546251322","-124.32699324804204","-124.32699324804204","-124.32699324804204","-142.4099428484019","-142.4099428484019","-142.4099428484019","-198.46852795701164","-198.46852795701164","-198.46852795701164","-181.5139676771413","-181.5139676771413","-181.5139676771413","-122.0873504386872","-122.0873504386872","-122.0873504386872"
"10200","-142.43733165129635","-142.43733165129635","-142.43733165129635","-219.83423347982074","-219.83423347982074","-219.83423347982074","-219.28377323773725","-219.28377323773725","-219.28377323773725","-218.03391214027914","-218.03391214027914","-218.03391214027914","-147.1646509317516","-147.1646509317516","-147.1646509317516","-148.56701754091563","-148.56701754091563","-148.56701754091563","-192.06279934031082","-192.06279934031082","-192.06279934031082","-124.07962323514184","-124.07962323514184","-124.07962323514184","-171.93195857809408","-171.93195857809408","-171.93195857809408","-385.7025958845514","-385.7025958845514","-385.7025958845514","-146.53905003462174","-146.53905003462174","-146.53905003462174","-172.7041216745582","-172.7041216745582","-172.7041216745582","-125.01852153408262","-125.01852153408262","-125.01852153408262","-205.04311149941114","-205.04311149941114","-205.04311149941114","-168.49556057638634","-168.49556057638634","-168.49556057638634","-147.9776627723749","-147.9776627723749","-147.9776627723749","-142.57963639982114","-142.57963639982114","-142.57963639982114","-120.1735747599002","-120.1735747599002","-120.1735747599002","-182.2881403493347","-182.2881403493347","-182.2881403493347","-122.17770453426324","-122.17770453426324","-122.17770453426324"
"10500","-143.87431319626825","-143.87431319626825","-143.87431319626825","-219.9025121072149","-219.9025121072149","-219.9025121072149","-219.34867129274784","-219.34867129274784","-219.34867129274784","-218.08602353210503","-218.08602353210503","-218.08602353210503","-148.33044057215346","-148.33044057215346","-148.33044057215346","-147.0675622607765","-147.0675622607765","-147.0675622607765","-191.49369581555717","-191.49369581555717","-191.49369581555717","-124.55612907159677","-124.55612907159677","-124.55612907159677","-172.61071354417638","-172.61071354417638","-172.61071354417638","-257.64245384082835","-257.64245384082835","-257.64245384082835","-146.5709215247033","-146.5709215247033","-146.5709215247033","-172.4397313504948","-172.4397313504948","-172.4397313504948","-123.48511749422043","-123.48511749422043","-123.48511749422043","-205.12871693425367","-205.12871693425367","-205.12871693425367","-169.20661260955427","-169.20661260955427","-169.20661260955427","-125.34868534916298","-125.34868534916298","-125.34868534916298","-142.30865687031945","-142.30865687031945","-142.30865687031945","-122.02928602485558","-122.02928602485558","-122.02928602485558","-180.84271130915923","-180.84271130915923","-180.84271130915923","-121.09755834303778","-121.09755834303778","-121.09755834303778"
"10800","-142.36028657875198","-142.36028657875198","-142.36028657875198","-220.02936880420435","-220.02936880420435","-220.02936880420435","-218.96158743850447","-218.96158743850447","-218.96158743850447","-216.0590267410044","-216.0590267410044","-216.0590267410044","-147.91021612447912","-147.91021612447912","-147.91021612447912","-146.17030542264746","-146.17030542264746","-146.17030542264746","-191.56165455164845","-191.56165455164845","-191.56165455164845","-98.20371745879513","-98.20371745879513","-98.20371745879513","-172.60793209499548","-172.60793209499548","-172.60793209499548","-376.87629844008785","-376.87629844008785","-376.87629844008785","-146.0943239060294","-146.0943239060294","-146.0943239060294","-173.49480691755502","-173.49480691755502","-173.49480691755502","-123.91694296397088","-123.91694296397088","-123.91694296397088","-207.26370453496367","-207.26370453496367","-207.26370453496367","-171.64650027596562","-171.64650027596562","-171.64650027596562","-123.55036581663985","-123.55036581663985","-123.55036581663985","-142.27356734467247","-142.27356734467247","-142.27356734467247","-120.15873669073044","-120.15873669073044","-120.15873669073044","-180.39555051486633","-180.39555051486633","-180.39555051486633","-120.59647742386714","-120.59647742386714","-120.59647742386714"
"11100","-142.31009638610834","-142.31009638610834","-142.31009638610834","-217.9002576603982","-217.9002576603982","-217.9002576603982","-244.16076051529484","-244.16076051529484","-244.16076051529484","-216.16191288521662","-216.16191288521662","-216.16191288521662","-147.91830987564126","-147.91830987564126","-147.91830987564126","-145.7745868944973","-145.7745868944973","-145.7745868944973","-190.68842523635797","-190.68842523635797","-190.68842523635797","-97.84880818430176","-97.84880818430176","-97.84880818430176","-173.54142446461535","-173.54142446461535","-173.54142446461535","-405.69983123392","-405.69983123392","-405.69983123392","-146.12873037628827","-146.12873037628827","-146.12873037628827","-172.82426768704127","-172.82426768704127","-172.82426768704127","-122.93495486180572","-122.93495486180572","-122.93495486180572","-205.51047664819734","-205.51047664819734","-205.51047664819734","-172.05735673179646","-172.05735673179646","-172.05735673179646","-122.67944534873106","-122.67944534873106","-122.67944534873106","-142.0282933995765","-142.0282933995765","-142.0282933995765","-223.00079714198938","-223.00079714198938","-223.00079714198938","-172.2245174692784","-172.2245174692784","-172.2245174692784","-120.37569763292706","-120.37569763292706","-120.37569763292706"
"11400","-144.5763417468196","-144.5763417468196","-144.5763417468196","-217.47002813867","-217.47002813867","-217.47002813867","-219.06306552649053","-219.06306552649053","-219.06306552649053","-216.27212092505766","-216.27212092505766","-216.27212092505766","-147.02198406170731","-147.02198406170731","-147.02198406170731","-146.20980546251678","-146.20980546251678","-146.20980546251678","-190.94794635266862","-190.94794635266862","-190.94794635266862","-96.81651521289294","-96.81651521289294","-96.81651521289294","-174.57328529618457","-174.57328529618457","-174.57328529618457","-466.89201994789585","-466.89201994789585","-466.89201994789585","-146.007120436876","-146.007120436876","-146.007120436876","-171.53232469823223","-171.53232469823223","-171.53232469823223","-123.40025296958704","-123.40025296958704","-123.40025296958704","-207.6319296338294","-207.6319296338294","-207.6319296338294","-170.35636440530416","-170.35636440530416","-170.35636440530416","-122.9061872092786","-122.9061872092786","-122.9061872092786","-143.5139794648316","-143.5139794648316","-143.5139794648316","-121.41852850792506","-121.41852850792506","-121.41852850792506","-169.99244393832788","-169.99244393832788","-169.99244393832788","-120.78606441884133","-120.78606441884133","-120.78606441884133"
"11700","-145.66674147436225","-145.66674147436225","-145.66674147436225","-218.73437822534507","-218.73437822534507","-218.73437822534507","-218.53153943158867","-218.53153943158867","-218.53153943158867","-215.54038622851695","-215.54038622851695","-215.54038622851695","-147.7388548095688","-147.7388548095688","-147.7388548095688","-146.687582989992","-146.687582989992","-146.687582989992","-190.97364884148644","-190.97364884148644","-190.97364884148644","-96.93341649535017","-96.93341649535017","-96.93341649535017","-174.3971591492155","-174.3971591492155","-174.3971591492155","-396.80643866320696","-396.80643866320696","-396.80643866320696","-145.8474982185499","-145.8474982185499","-145.8474982185499","-170.65549283211644","-170.65549283211644","-170.65549283211644","-122.69343308725215","-122.69343308725215","-122.69343308725215","-205.906458708431","-205.906458708431","-205.906458708431","-167.60605043013203","-167.60605043013203","-167.60605043013203","-122.50492640439158","-122.50492640439158","-122.50492640439158","-142.33156734052528","-142.33156734052528","-142.33156734052528","-119.59516473435107","-119.59516473435107","-119.59516473435107","-176.515216231647","-176.515216231647","-176.515216231647","-121.68207260298804","-121.68207260298804","-121.68207260298804"
"12000","-145.80820774244776","-145.80820774244776","-145.80820774244776","-218.00313859007196","-218.00313859007196","-218.00313859007196","-219.0297666862507","-219.0297666862507","-219.0297666862507","-214.55424774742355","-214.55424774742355","-214.55424774742355","-146.88011649324116","-146.88011649324116","-146.88011649324116","-147.0183540260062","-147.0183540260062","-147.0183540260062","-190.62335668472463","-190.62335668472463","-190.62335668472463","-97.34764568871299","-97.34764568871299","-97.34764568871299","-171.88231445376698","-171.88231445376698","-171.88231445376698","-377.74231577181615","-377.74231577181615","-377.74231577181615","-145.7693982069663","-145.7693982069663","-145.7693982069663","-171.16510479324137","-171.16510479324137","-171.16510479324137","-123.41308450493734","-123.41308450493734","-123.41308450493734","-205.7020253199844","-205.7020253199844","-205.7020253199844","-168.46916754384205","-168.46916754384205","-168.46916754384205","-122.58337039180358","-122.58337039180358","-122.58337039180358","-142.56545954456342","-142.56545954456342","-142.56545954456342","-119.72178454202296","-119.72178454202296","-119.72178454202296","-169.5614596304765","-169.5614596304765","-169.5614596304765","-120.46707512267986","-120.46707512267986","-120.46707512267986"
"12300","-142.49220843650485","-142.49220843650485","-142.49220843650485","-192.80579633435792","-192.80579633435792","-192.80579633435792","-220.72909871171373","-220.72909871171373","-220.72909871171373","-215.8800154814212","-215.8800154814212","-215.8800154814212","-146.49747668427705","-146.49747668427705","-146.49747668427705","-146.04341075054822","-146.04341075054822","-146.04341075054822","-190.56149148066015","-190.56149148066015","-190.56149148066015","-150.44225053722553","-150.44225053722553","-150.44225053722553","-172.9626594187094","-172.9626594187094","-172.9626594187094","-500.07332867428124","-500.07332867428124","-500.07332867428124","-145.99620177194092","-145.99620177194092","-145.99620177194092","-171.17644932400643","-171.17644932400643","-171.17644932400643","-123.6594420033698","-123.6594420033698","-123.6594420033698","-206.00345808586","-206.00345808586","-206.00345808586","-168.3305295887731","-168.3305295887731","-168.3305295887731","-121.8009865464232","-121.8009865464232","-121.8009865464232","-142.50686442721485","-142.50686442721485","-142.50686442721485","-119.21465174791012","-119.21465174791012","-119.21465174791012","-170.9547189176907","-170.9547189176907","-170.9547189176907","-121.61746526001198","-121.61746526001198","-121.61746526001198"
"12600","-143.25078585220604","-143.25078585220604","-143.25078585220604","-194.7986211890777","-194.7986211890777","-194.7986211890777","-221.25800276400355","-221.25800276400355","-221.25800276400355","-217.50450558306588","-217.50450558306588","-217.50450558306588","-145.33170931869736","-145.33170931869736","-145.33170931869736","-148.046479763287","-148.046479763287","-148.046479763287","-190.8774832244033","-190.8774832244033","-190.8774832244033","-98.37372261371328","-98.37372261371328","-98.37372261371328","-171.54655473782844","-171.54655473782844","-171.54655473782844","-496.5809267316117","-496.5809267316117","-496.5809267316117","-146.07138728673712","-146.07138728673712","-146.07138728673712","-172.22732847081267","-172.22732847081267","-172.22732847081267","-123.61995915079311","-123.61995915079311","-123.61995915079311","-205.12865856656396","-205.12865856656396","-205.12865856656396","-168.29221919170638","-168.29221919170638","-168.29221919170638","-122.12015301478326","-122.12015301478326","-122.12015301478326","-142.4562689065712","-142.4562689065712","-142.4562689065712","-120.0995508923011","-120.0995508923011","-120.0995508923011","-174.9784738107573","-174.9784738107573","-174.9784738107573","-121.36063477465731","-121.36063477465731","-121.36063477465731"
"12900","-143.80064659652683","-143.80064659652683","-143.80064659652683","-193.2508791672033","-193.2508791672033","-193.2508791672033","-221.43930013565668","-221.43930013565668","-221.43930013565668","-216.8792943911307","-216.8792943911307","-216.8792943911307","-145.42799618368892","-145.42799618368892","-145.42799618368892","-150.04726595240663","-150.04726595240663","-150.04726595240663","-191.71104974569394","-191.71104974569394","-191.71104974569394","-270.3324105857561","-270.3324105857561","-270.3324105857561","-171.39244985160627","-171.39244985160627","-171.39244985160627","-258.5051000635066","-258.5051000635066","-258.5051000635066","-146.12598185820778","-146.12598185820778","-146.12598185820778","-170.2676699213959","-170.2676699213959","-170.2676699213959","-123.02252416874039","-123.02252416874039","-123.02252416874039","-206.53045955494707","-206.53045955494707","-206.53045955494707","-168.64032405689935","-168.64032405689935","-168.64032405689935","-121.84491072712896","-121.84491072712896","-121.84491072712896","-143.32009867013082","-143.32009867013082","-143.32009867013082","-120.029773520493","-120.029773520493","-120.029773520493","-171.1948300050836","-171.1948300050836","-171.1948300050836","-122.21891620488172","-122.21891620488172","-122.21891620488172"
"13200","-142.53987578290327","-142.53987578290327","-142.53987578290327","-192.91291740655768","-192.91291740655768","-192.91291740655768","-223.33005765850908","-223.33005765850908","-223.33005765850908","-216.47991107287982","-216.47991107287982","-216.47991107287982","-146.07843483256167","-146.07843483256167","-146.07843483256167","-149.0594426767015","-149.0594426767015","-149.0594426767015","-191.5283659998709","-191.5283659998709","-191.5283659998709","-100.09981521608506","-100.09981521608506","-100.09981521608506","-172.60291472553772","-172.60291472553772","-172.60291472553772","-268.5629405634215","-268.5629405634215","-268.5629405634215","-146.42297553730737","-146.42297553730737","-146.42297553730737","-172.95205805422262","-172.95205805422262","-172.95205805422262","-122.90930807574914","-122.90930807574914","-122.90930807574914","-206.33912741420014","-206.33912741420014","-206.33912741420014","-170.05923413119086","-170.05923413119086","-170.05923413119086","-121.47972347662217","-121.47972347662217","-121.47972347662217","-143.17685269984136","-143.17685269984136","-143.17685269984136","-119.78505008097292","-119.78505008097292","-119.78505008097292","-170.73688923143789","-170.73688923143789","-170.73688923143789","-122.12244705517985","-122.12244705517985","-122.12244705517985"
"13500","-142.6532608542488","-142.6532608542488","-142.6532608542488","-193.23870523189507","-193.23870523189507","-193.23870523189507","-222.8357132990197","-222.8357132990197","-222.8357132990197","-217.21837264503975","-217.21837264503975","-217.21837264503975","-145.85946506489725","-145.85946506489725","-145.85946506489725","-150.88811513748337","-150.88811513748337","-150.88811513748337","-191.3538472087956","-191.3538472087956","-191.3538472087956","-100.96195747657855","-100.96195747657855","-100.96195747657855","-171.49024114467272","-171.49024114467272","-171.49024114467272","-277.66032193390777","-277.66032193390777","-277.66032193390777","-146.40558849666166","-146.40558849666166","-146.40558849666166","-172.99403704377676","-172.99403704377676","-172.99403704377676","-122.86179120152447","-122.86179120152447","-122.86179120152447","-205.87267442357998","-205.87267442357998","-205.87267442357998","-169.57210190282683","-169.57210190282683","-169.57210190282683","-121.40321664216546","-121.40321664216546","-121.40321664216546","-144.0694647453097","-144.0694647453097","-144.0694647453097","-121.56030845255393","-121.56030845255393","-121.56030845255393","-174.78921867280164","-174.78921867280164","-174.78921867280164","-123.7388249643459","-123.7388249643459","-123.7388249643459"
"13800","-142.42151723693823","-142.42151723693823","-142.42151723693823","-193.65160380548917","-193.65160380548917","-193.65160380548917","-222.72374541138078","-222.72374541138078","-222.72374541138078","-218.07442854172785","-218.07442854172785","-218.07442854172785","-147.03555163385641","-147.03555163385641","-147.03555163385641","-149.54190041085536","-149.54190041085536","-149.54190041085536","-191.53265642831505","-191.53265642831505","-191.53265642831505","-99.0190545875334","-99.0190545875334","-99.0190545875334","-171.09155676376056","-171.09155676376056","-171.09155676376056","-222.6499175071653","-222.6499175071653","-222.6499175071653","-146.941612956669","-146.941612956669","-146.941612956669","-171.52986462617068","-171.52986462617068","-171.52986462617068","-122.97108463731611","-122.97108463731611","-122.97108463731611","-205.66874325202542","-205.66874325202542","-205.66874325202542","-169.23672992862006","-169.23672992862006","-169.23672992862006","-121.33733857903948","-121.33733857903948","-121.33733857903948","-143.81447739604448","-143.81447739604448","-143.81447739604448","-122.40471456552568","-122.40471456552568","-122.40471456552568","-170.33806903269038","-170.33806903269038","-170.33806903269038","-122.08031914757585","-122.08031914757585","-122.08031914757585"
"14100","-143.3195458455482","-143.3195458455482","-143.3195458455482","-194.73676588034334","-194.73676588034334","-194.73676588034334","-222.39013679140461","-222.39013679140461","-222.39013679140461","-216.727119550288","-216.727119550288","-216.727119550288","-146.12627632386167","-146.12627632386167","-146.12627632386167","-148.62353737595916","-148.62353737595916","-148.62353737595916","-191.21014533470424","-191.21014533470424","-191.21014533470424","-99.72641105920559","-99.72641105920559","-99.72641105920559","-171.1933544243023","-171.1933544243023","-171.1933544243023","-135.28021377612552","-135.28021377612552","-135.28021377612552","-146.18388434594448","-146.18388434594448","-146.18388434594448","-169.65889555520374","-169.65889555520374","-169.65889555520374","-122.4108784808503","-122.4108784808503","-122.4108784808503","-205.84966821612315","-205.84966821612315","-205.84966821612315","-168.23529536446776","-168.23529536446776","-168.23529536446776","-121.50536798794755","-121.50536798794755","-121.50536798794755","-145.25860224939532","-145.25860224939532","-145.25860224939532","-122.5207788390436","-122.5207788390436","-122.5207788390436","-175.17282576489166","-175.17282576489166","-175.17282576489166","-124.0918462897466","-124.0918462897466","-124.0918462897466"
"14400","-141.95305800043755","-141.95305800043755","-141.95305800043755","-191.17819202013692","-191.17819202013692","-191.17819202013692","-221.30466123330697","-221.30466123330697","-221.30466123330697","-218.14982696753455","-218.14982696753455","-218.14982696753455","-146.2527767771141","-146.2527767771141","-146.2527767771141","-149.91811714439106","-149.91811714439106","-149.91811714439106","-190.79231945425482","-190.79231945425482","-190.79231945425482","-100.52241589325854","-100.52241589325854","-100.52241589325854","-171.97187908472497","-171.97187908472497","-171.97187908472497","-213.20320131551657","-213.20320131551657","-213.20320131551657","-146.52166298035678","-146.52166298035678","-146.52166298035678","-171.0232087713112","-171.0232087713112","-171.0232087713112","-123.50937269569356","-123.50937269569356","-123.50937269569356","-208.09851577246863","-208.09851577246863","-208.09851577246863","-168.77348972153214","-168.77348972153214","-168.77348972153214","-120.88473517700172","-120.88473517700172","-120.88473517700172","-145.56668948058797","-145.56668948058797","-145.56668948058797","-123.9050514986124","-123.9050514986124","-123.9050514986124","-171.27530011245085","-171.27530011245085","-171.27530011245085","-126.20490872958649","-126.20490872958649","-126.20490872958649"
"14700","-141.86584096221503","-141.86584096221503","-141.86584096221503","-193.0525804288724","-193.0525804288724","-193.0525804288724","-220.53179872926998","-220.53179872926998","-220.53179872926998","-217.10350720268428","-217.10350720268428","-217.10350720268428","-146.82280647079583","-146.82280647079583","-146.82280647079583","-148.3758769629177","-148.3758769629177","-148.3758769629177","-190.02595582380363","-190.02595582380363","-190.02595582380363","-100.18098392484752","-100.18098392484752","-100.18098392484752","-170.77398957978477","-170.77398957978477","-170.77398957978477","-262.30925495102105","-262.30925495102105","-262.30925495102105","-146.3328516385835","-146.3328516385835","-146.3328516385835","-172.68215074512338","-172.68215074512338","-172.68215074512338","-122.55465633187407","-122.55465633187407","-122.55465633187407","-206.9545045220737","-206.9545045220737","-206.9545045220737","-168.76060538422445","-168.76060538422445","-168.76060538422445","-121.48228537113218","-121.48228537113218","-121.48228537113218","-144.68925434626166","-144.68925434626166","-144.68925434626166","-124.7512510251626","-124.7512510251626","-124.7512510251626","-176.7935808341029","-176.7935808341029","-176.7935808341029","-127.46037685970425","-127.46037685970425","-127.46037685970425"
"15000","-142.35856938369346","-142.35856938369346","-142.35856938369346","-194.25955093715814","-194.25955093715814","-194.25955093715814","-221.55418296537732","-221.55418296537732","-221.55418296537732","-215.35639606355934","-215.35639606355934","-215.35639606355934","-146.99377657445902","-146.99377657445902","-146.99377657445902","-147.37758428788166","-147.37758428788166","-147.37758428788166","-190.3106908646607","-190.3106908646607","-190.3106908646607","-101.39068098455164","-101.39068098455164","-101.39068098455164","-171.17412119396107","-171.17412119396107","-171.17412119396107","-136.91066367912873","-136.91066367912873","-136.91066367912873","-146.30360152064185","-146.30360152064185","-146.30360152064185","-169.50268878947549","-169.50268878947549","-169.50268878947549","-122.7914315516952","-122.7914315516952","-122.7914315516952","-208.29189954157096","-208.29189954157096","-208.29189954157096","-169.16337991046754","-169.16337991046754","-169.16337991046754","-122.68306930228951","-122.68306930228951","-122.68306930228951","-146.216394390256","-146.216394390256","-146.216394390256","-123.77643777966242","-123.77643777966242","-123.77643777966242","-171.43048510027097","-171.43048510027097","-171.43048510027097","-127.24219856390016","-127.24219856390016","-127.24219856390016"
"15300","-142.7589300704226","-142.7589300704226","-142.7589300704226","-194.45412791883695","-194.45412791883695","-194.45412791883695","-220.81290195963743","-220.81290195963743","-220.81290195963743","-215.06035429767653","-215.06035429767653","-215.06035429767653","-146.87388103535434","-146.87388103535434","-146.87388103535434","-146.40248445175558","-146.40248445175558","-146.40248445175558","-190.4672211213599","-190.4672211213599","-190.4672211213599","-102.69049758950264","-102.69049758950264","-102.69049758950264","-171.0862979028511","-171.0862979028511","-171.0862979028511","-136.83233947248135","-136.83233947248135","-136.83233947248135","-146.0805966009768","-146.0805966009768","-146.0805966009768","-170.74288449969276","-170.74288449969276","-170.74288449969276","-122.98511293587376","-122.98511293587376","-122.98511293587376","-208.37646615673893","-208.37646615673893","-208.37646615673893","-168.91600395646026","-168.91600395646026","-168.91600395646026","-121.11442520886412","-121.11442520886412","-121.11442520886412","-147.17982213110182","-147.17982213110182","-147.17982213110182","-124.42614454412497","-124.42614454412497","-124.42614454412497","-172.12257669883718","-172.12257669883718","-172.12257669883718","-128.94916132492628","-128.94916132492628","-128.94916132492628"
