"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"8700","-155.99599067072205","-205.28620649212507","-122.8706858974909","-261.19743240443404","-529.168746927643","-128.2617167644014","-156.1846034725531","-210.80189990773732","-124.17299337805113","-151.90004854708343","-205.5314019631341","-120.87006091944349","-154.0012472578752","-220.19843817564274","-120.50673529034695"
"9000","-183.81549731456988","-271.4428678711298","-122.18206926988469","-291.84054654122025","-451.9810828541762","-128.99528693878088","-163.41271226909083","-222.57003445830023","-124.71674564032011","-153.28282030057008","-204.15939880442892","-120.48460225842427","-153.77554458683676","-208.55751466139478","-120.08251456222982"
"9300","-192.4631091417138","-540.9984179561777","-120.99200572491763","-320.5109141563427","-634.8231283803286","-144.5289996113318","-162.15303787862112","-254.4674205264302","-123.22327433593156","-150.4534637021292","-204.60682615859386","-120.81093055693432","-151.5192498942542","-205.65540925273007","-119.89072483853934"
"9600","-163.67599799233545","-227.26223746852065","-120.3994504818883","-248.33625185786588","-395.99560808798003","-124.27083330396624","-153.09807124644811","-206.67629886695622","-119.38038293480122","-150.65674000672362","-205.74013214766774","-119.63941535097017","-193.2715110448543","-601.0000913067935","-119.12219377818556"
"9900","-160.0010924962995","-228.74463747868262","-121.91170500553048","-319.07278290199906","-497.6045477060114","-124.46225286634963","-160.77175753641004","-248.80389859645433","-120.53649083025577","-150.67519540341542","-204.50242542675264","-120.03158145429465","-151.43397040893916","-203.94259233660222","-119.37158836523778"
"10200","-185.5912253002443","-480.515851689688","-120.50096377316984","-266.2908677962208","-472.83348487537603","-155.21816959701363","-155.13540640041694","-204.99623793358228","-120.44972899794455","-151.3909506354994","-205.40024148517531","-120.75559704379069","-151.13318284668753","-203.40861707420117","-119.1345931018136"
"10500","-168.16261625760404","-250.76471961837575","-121.7120620505568","-250.887435606466","-401.9831338085371","-125.09356805974676","-158.77198677864135","-206.37240148762447","-121.1801964418361","-150.95236195085192","-206.66560502005692","-121.27092067951803","-171.08119200212744","-324.3397548719216","-119.13857998595435"
"10800","-166.81087704334996","-213.6563578179643","-121.30756603706136","-306.27979330974443","-522.4453600945706","-148.460652441133","-159.71097817359492","-258.7301937311274","-123.6278500529259","-149.9307138399338","-204.7481950664545","-120.86522245656715","-150.76291354291567","-202.9054119025372","-120.53629757111769"
"11100","-184.06835965905267","-329.2986032484152","-122.23628320230455","-314.05013178673755","-544.5612733984847","-171.7469994875541","-152.62491880353326","-204.39131212323886","-121.21585011725271","-150.3559264584012","-205.61976288560672","-121.18955046614872","-150.45355247723214","-203.6866098315061","-118.62560895539477"
"11400","-202.4500854107184","-453.26428819630803","-120.08253148628077","-278.7452008132142","-530.1460900890179","-125.4970576664884","-154.89203810647706","-204.38958179765933","-123.09120309213645","-149.6883511702793","-204.97297042102878","-120.8182132427387","-150.55607630437757","-203.45195942005725","-118.64842834335134"
"11700","-168.70736768471838","-277.090158786211","-121.13881190242549","-276.82309315404115","-538.7131217006261","-126.15600568067399","-158.64897240143588","-230.43101065766632","-122.94681276389151","-150.3192872587769","-205.90881762949343","-120.42051387433268","-150.06682512471983","-202.09650247668404","-121.02170167286104"
"12000","-179.79581577135818","-253.99913829672988","-123.15326977322857","-264.2442134929433","-569.2467216643477","-125.00761603845051","-161.39268508718268","-204.75276981514767","-124.11068566841172","-153.17581397232033","-206.4055220977995","-120.59843222970085","-151.77214120829927","-204.30111813624984","-121.70889597665071"
"12300","-182.44155889339052","-327.59728002345","-120.96327822621849","-238.39970512597142","-567.6466058442187","-143.86351607861013","-187.44821190455582","-471.9620572134675","-123.02130923171906","-149.81948926774834","-206.73307745631683","-120.15286876150633","-162.7113726501106","-260.06597348098626","-123.2251218434789"
"12600","-162.5632928106889","-251.11179213514274","-120.15190095633011","-222.6080826372958","-435.2701071545428","-122.18468432889495","-154.31191726921617","-205.76174150520797","-123.40413452021585","-152.3317840605723","-207.75373246563794","-120.0421785436761","-152.76294700530178","-217.72415561451953","-121.8722310130488"
"12900","-180.47007879849963","-339.3739491515813","-120.1972800343045","-232.76243579775118","-539.3264961662437","-119.80537026252537","-168.9838506214473","-317.9866236134078","-120.59834158714064","-149.76851092967988","-204.91967925891245","-119.8134899358025","-151.56821559519935","-206.38208380877668","-121.0528237014942"
"13200","-165.60888676823143","-223.4637623395191","-120.64870319608474","-211.17686117994427","-373.19455385678225","-118.8676494253499","-175.19278939741696","-399.45651257023405","-120.42678316052536","-150.01490607260075","-204.8015340204065","-120.53833772165338","-152.4877036139516","-216.6140198054809","-121.81373974609014"
"13500","-172.10691682308783","-297.81110875277636","-124.89727405371119","-256.89099504204705","-443.4229655743737","-146.16840471939418","-184.2708340840562","-353.0737157304796","-121.0282858334856","-149.58344408720606","-205.68672679398423","-120.49491305357313","-150.75718228752265","-202.37452221902498","-120.66287505858915"
"13800","-174.55550459176624","-334.61742480502744","-120.1669084555474","-249.2940312276991","-448.6573610239785","-132.04888803431305","-180.75909381879364","-431.12178840963963","-123.60112299009839","-151.8970877324461","-206.71360387250988","-120.60630988648293","-152.3499050999289","-218.07186413351093","-122.38743639247157"
"14100","-160.91174000874648","-248.7118956022367","-121.40065266682723","-246.80998200769733","-567.9927350838693","-120.74380212834365","-179.29571252728502","-305.2040698236857","-120.43353822685765","-150.42144068941013","-207.48515288754476","-121.51129456592795","-169.1852206953086","-318.0077860023","-119.65140005374136"
"14400","-198.31598477412808","-500.28620499302326","-120.18234433525895","-218.63414800912196","-483.6040050053369","-133.8731913322912","-170.65428934191067","-294.72731162955944","-123.10994139785552","-152.39934040204136","-206.37765377111606","-120.95159365503014","-151.15522656690126","-203.17860856135155","-119.52784385742771"
"14700","-170.31897800096712","-297.3603497994562","-123.35454411484962","-176.46641968873263","-227.63031106926374","-118.81901993828042","-180.7606840641623","-399.8999700092294","-123.70790262335659","-150.32474747561568","-206.95112665135053","-121.29709159810497","-152.86959531594772","-218.26761968480508","-118.80673290126518"
"15000","-163.7346677620926","-251.60882973694257","-122.3536645900858","-220.64290995642028","-417.6269684650516","-128.90589158449083","-166.9807740600663","-300.12505698569913","-121.22404423555085","-153.8197696245806","-232.99510855284393","-121.2130445948552","-170.73989709720553","-327.65798274244503","-120.38396855694296"
"15300","-160.99737528219381","-237.3944073860442","-122.11998763211348","-238.68155209291731","-453.7376649742252","-119.73242096740626","-178.92678642813505","-377.4827928809914","-119.81136378478439","-149.95054460609603","-207.23290416015783","-121.25389959173879","-152.2000462115294","-216.53950719160002","-118.77994266825291"
"15600","-178.86234084433525","-323.58611934404036","-124.12087244714905","-222.83694712402462","-402.0546566261945","-120.00574714109207","-152.57226452804824","-203.9855060676336","-120.73348509775107","-150.6590699966887","-207.43395536949902","-120.752798040452","-152.5981819112538","-221.63447031147453","-118.94864820673816"
"15900","-156.74938072574562","-203.075854453382","-121.52625327053565","-224.70566051416137","-440.67738796327177","-118.70664499895994","-179.0384498672285","-303.2423817673865","-121.58710483041048","-158.57961135081268","-225.25081816298842","-120.12053997662186","-151.91970865047693","-221.10739229485768","-120.089966745565"
"16200","-180.3693072636471","-399.951868172983","-121.86357154038919","-243.88129517491376","-353.25382777743124","-145.09301880072863","-165.01965431233606","-303.34454910725054","-120.92022330319988","-156.6370227440009","-224.9884130726276","-120.2950586100422","-150.9903470308064","-208.94550708227627","-119.87866914881931"
"16500","-175.75100648485338","-387.8358714260001","-123.697180826149","-279.2692763928431","-505.28400594579887","-146.17734861173489","-152.3974710207698","-204.23885820031734","-122.98906018327754","-150.14926691583773","-207.04217773414507","-120.8148581048981","-151.93031423588252","-221.59477258976204","-120.01058318936491"
"16800","-162.90071841527327","-256.4354366290298","-122.59334520017637","-250.76129809059012","-493.16711647510647","-128.52324813906716","-160.18767929687684","-207.27959468518924","-120.2760841219964","-151.37510840714953","-206.6921939377575","-121.21161511914465","-150.4751700048167","-216.84970297415916","-119.36996842088615"
"17100","-168.53124434842857","-280.35145393487807","-124.11399615748078","-243.4095644662596","-551.2757027426253","-119.9991193344634","-153.99292785567033","-205.76320632861112","-120.97644506348702","-152.79145376456793","-207.66291259995722","-121.1711355607124","-150.23234146444887","-213.43191725187808","-119.49060874784178"
"17400","-152.18286714588413","-202.1620656192103","-122.18689623275668","-267.64648003527975","-402.91818970953454","-118.76394517030508","-160.3852536304237","-248.70572516375123","-122.93619954562807","-150.2198164037135","-208.67442407140288","-120.98293151041847","-151.74950413180187","-223.59164034568556","-119.61818131833971"
"17700","-160.9973038206859","-218.83591743996575","-122.60617851420902","-237.7898994637725","-367.24521565111206","-120.63369130338658","-155.5561307063547","-202.7760649707987","-122.81245434233877","-150.3606937436596","-207.81892265452262","-120.86615877073318","-152.75618011590572","-224.90725543571997","-122.21710240548559"
"18000","-184.7306806796717","-405.89925721584234","-121.59069180160475","-255.94619418775082","-389.3127481737263","-120.98040320300511","-156.23699580945677","-205.57061694422129","-123.94765719578497","-150.15463648307903","-207.4875155949252","-120.37301376442944","-153.04773582188886","-219.28041886241058","-120.66671835982461"
"18300","-152.12098514388686","-204.0030904244372","-122.76624907501773","-223.65481971658565","-307.91968052716055","-145.05174332533858","-155.41109917368118","-207.00022701800145","-123.07703068193538","-149.36342208685878","-206.50295618178976","-120.77924541656816","-151.02131608594613","-218.64629282401748","-119.96808074967403"
"18600","-157.23531891023825","-202.21577351852093","-122.01730862431705","-221.74356291377475","-412.7634937965455","-131.83906826811807","-161.3408149983057","-224.50622310575926","-121.57078002174816","-152.36100704178443","-202.93238171298012","-121.04379523440244","-150.9032134842638","-219.4092045791459","-120.80489511281455"
"18900","-154.48698313569747","-223.10504588989428","-121.0826459046225","-228.08669157359745","-412.45180665728424","-120.76503774246649","-161.8324658509997","-208.75463639234567","-124.9506992110415","-150.22463488524895","-205.56198547697576","-120.3699679605048","-170.7847740438451","-392.23389898211724","-120.52079765390909"
"19200","-152.54810935539697","-207.88112654595867","-119.9016703324947","-225.53039692171257","-456.9400643334467","-122.58344206926802","-152.77941498527085","-207.13718721914734","-122.66618365984205","-150.14135096819103","-205.71908329749144","-121.30674444842361","-150.42353427445465","-218.15109251688256","-120.36921790070744"
"19500","-160.90272260377478","-206.02373542921595","-121.39323910225376","-240.39990678624903","-497.8086684887477","-131.2753210595406","-156.4789878328394","-209.0581445184382","-123.95753348977026","-150.4481619555971","-206.23895877227505","-121.73297625922037","-149.97456297487574","-211.60983996254936","-120.66419869852552"
"19800","-164.97360704853352","-241.64153897511568","-121.16466729154278","-198.49121848141587","-250.20742139263567","-123.21759708942639","-163.65896296334742","-208.13306237670275","-133.33943343091403","-150.2342876104512","-206.88136406861318","-119.3999685645686","-150.19579582115125","-209.93757874777097","-120.5536320310013"
"20100","-149.76027685349842","-201.56114188184375","-121.63285709911506","-216.54233395235605","-369.101331550482","-122.98461025762867","-152.69698476642037","-204.16499394844647","-123.18577162212655","-151.1746488681419","-207.7591496748145","-120.43363832567914","-150.4043299919518","-218.89475889069814","-119.92895016570814"
"20400","-149.14775456908978","-201.6840610338321","-121.72862511988919","-216.5281238011571","-383.59780385684553","-130.6649611035654","-158.67131401969172","-210.2007106513076","-123.01216149586344","-151.10119892191216","-203.5050263648715","-120.48251832598892","-149.3246662479059","-210.9672640006549","-119.7587957516597"
"20700","-154.29552325234866","-201.95592935285282","-121.97303774127053","-214.22066276778614","-434.42978112199626","-121.15571158200336","-172.84046684640848","-240.2409592635966","-124.52153552898596","-151.3215586339555","-206.27462443561694","-120.1092730280873","-152.76064939363488","-209.9722750859152","-119.88199454980949"
"21000","-176.339001694751","-324.87000919418335","-120.46150906026044","-216.29850743987407","-577.8145968253951","-121.25511676242752","-160.50251234946762","-208.97593554600797","-122.78997027844227","-153.2685640726508","-204.32312487322343","-120.46933833732214","-148.3515203599477","-197.1510044015078","-120.24367225617694"
"21300","-151.92875183767788","-200.23792830282076","-122.23294008728453","-217.3596061909687","-424.9874799361386","-121.70469625726214","-159.84997609846135","-207.43664263987444","-122.68293319639459","-150.71067227677585","-204.86975355985965","-120.36616359513819","-149.04765556514374","-199.5447002100746","-120.50802865079706"
"21600","-156.38894679121984","-222.18858847274655","-120.25718861069561","-213.6746354413884","-438.59311201319423","-122.00702891053353","-156.79896026627833","-205.81849752619206","-128.91221346070304","-157.0103062527198","-203.91844317575985","-121.48146166581898","-148.75733270694946","-198.5383168083039","-120.65994163706685"
"21900","-151.59585445921203","-204.93239681176811","-121.10963755280918","-228.0032296748373","-478.525450033766","-143.33589677658554","-158.87599681208917","-225.02667881135045","-122.02990546472714","-151.6973057990478","-205.9485860867529","-119.80931323845644","-148.46552305834604","-200.13020448695656","-119.80970846639283"
"22200","-148.39251308482426","-201.01257602202094","-120.42578750056009","-229.38877699275304","-438.5288993598703","-122.32115093848071","-151.6682283215868","-205.09987139569708","-121.25692107462571","-150.89543267290463","-205.9704563568239","-121.50019787995022","-149.36195331541057","-199.6861564137182","-122.50597984518531"
"22500","-148.5253542154576","-201.98502665265386","-121.36512849966934","-225.91557112087918","-487.6494661555653","-122.35306995888217","-154.52017421960718","-206.42877782903187","-121.38226534678117","-153.22708138860972","-208.79412652316705","-121.78641522574608","-148.88977540890443","-201.40157235210253","-120.09356169363105"
"22800","-153.16088751353357","-201.51220894950538","-120.87117311815084","-220.71493573395097","-405.3555172437952","-120.54900636672521","-156.19092474937224","-205.2024339779095","-122.19808801367901","-151.0407393750417","-205.7192589663082","-121.47339083233763","-148.56812466550258","-198.92629628549793","-119.83682375688315"
"23100","-148.30983973969364","-203.09534504129695","-120.3329531126968","-203.15407134635836","-472.26919713111994","-121.11957048070762","-155.69395442112165","-217.68425304758193","-121.07800046721158","-150.87112321978023","-204.93039071001604","-120.99722594472223","-148.78612982731187","-199.59887008598554","-121.2514488140891"
"23400","-153.03199654723227","-202.47922730484464","-120.52074239885465","-214.18007874887627","-359.51495292913233","-120.59171114542292","-149.5339305542389","-201.51486364312302","-121.33162822269928","-150.936820349774","-204.7798400628773","-121.25764994389723","-149.11503683554267","-200.97151828263452","-123.01087285574685"
"23700","-159.13216174423394","-202.63818933319698","-120.25293306113319","-219.42665825817343","-369.62778664802676","-121.25215751457873","-151.8726103482828","-204.01766424860517","-121.00865004568061","-150.83333923281162","-203.95033958465135","-121.25757912853177","-149.57746303583025","-201.14014870519787","-122.72129471601673"
"24000","-155.75754606507684","-201.778905832466","-120.37645182790455","-210.84518014999338","-480.60611963959707","-121.78258075537401","-150.2487449035015","-204.07483811651252","-121.87426463303791","-151.2377998224589","-203.68387120847575","-120.91569823528755","-149.59113147401882","-201.00548063664445","-123.67329255496733"
"24300","-153.53004393429762","-201.3624633234858","-119.89403269677898","-204.85159547562358","-559.4059398831896","-122.32468699523079","-152.1373556180903","-203.1826425244687","-120.41281218418325","-150.7285425838332","-205.67845850596103","-120.862952019456","-149.2445847026708","-201.14076460079454","-125.15252345657343"
"24600","-152.99079572802458","-201.81344295738853","-120.56671043003257","-218.58918836322155","-545.5068133605208","-120.9794603153877","-152.2854485503441","-202.302590324683","-121.41175859792652","-150.14913761721095","-204.8187166347932","-120.9688819797645","-149.3624641481859","-200.96359311772866","-125.29872523426675"
"24900","-147.86107657786525","-200.93523902217004","-120.02200485235353","-214.56976136996724","-419.9546358727416","-120.6701651039435","-152.288885574684","-202.26358620684414","-123.04049246979139","-150.63613441169872","-203.73506579393785","-120.45874103766687","-149.80746655419475","-202.75878419441446","-124.19101825927585"
"25200","-155.38730939039667","-200.8139472042203","-120.19660431514254","-220.11258658614815","-534.534582197218","-122.44069724123794","-152.85042815096497","-205.90867046188046","-120.85841960893313","-150.33999861287458","-203.29826079491426","-122.31915429992458","-149.36599946808565","-200.36403851743293","-124.67121188071523"
"25500","-150.55148067929008","-202.07305547328184","-119.51447386935445","-233.19797652496285","-604.9058367242835","-131.55238971055377","-152.49766132499985","-205.0277705752338","-120.68314047753395","-155.7824031443507","-223.09933831106272","-121.3292541778153","-149.5121628107655","-201.82057970893374","-124.19548387910132"
"25800","-155.65616142772893","-201.6653754505101","-119.468364560895","-198.68251166276298","-388.44407857750167","-121.89341182249925","-155.6395556836116","-225.7050148705119","-122.68720139672932","-152.40390488071162","-206.21299896713109","-121.15226330032218","-149.00004385797237","-201.81469624273274","-123.15795324468952"
"26100","-167.98997227038845","-275.9449319947551","-119.38484074585794","-234.46045989114936","-472.87276848778293","-121.95795926770593","-150.16949064464364","-206.18832596669648","-120.67941167324219","-150.1925268512373","-206.33726961901365","-122.0088394380524","-149.15484837812852","-203.38807341470678","-123.20724037203004"
"26400","-155.31713018295574","-200.65771631631998","-119.11833391135133","-190.17080712349343","-394.0047898436394","-120.9090509790329","-158.27198460193674","-252.60216936158344","-120.88791652077221","-150.1008613678699","-205.28274817680904","-122.09060782170359","-151.96276719331019","-203.85668353182444","-122.44766256842738"
"26700","-175.7150008910415","-277.03945202444464","-119.34754914102277","-183.76688771609932","-294.0936649922151","-120.92206071362621","-149.93326336553378","-206.23163018267596","-120.46160786175594","-152.26291210474403","-203.00162900901063","-121.83742753675494","-149.28995168588077","-205.26641718497257","-121.95980782384281"
"27000","-160.63104626682508","-252.25579152265328","-120.33527258588492","-227.83230216330395","-503.8381269423081","-122.18814433150824","-150.59790869786568","-203.13763409958528","-121.46843914901426","-152.6143228448043","-201.82167601361274","-122.09157779044055","-149.28966392597366","-205.63415348504094","-121.54153637606098"
"27300","-170.38040720080616","-299.27119623196114","-120.40641464080227","-208.68477843895334","-481.2737368071242","-121.09488426412504","-154.9009106805111","-206.16685685733736","-120.81681694344184","-149.91948299065882","-204.3343141059094","-122.16395422536785","-148.99072173810515","-203.40724360359673","-120.48290803516504"
