"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"43500","-1.9083045387597761","-2.4253917347034184","-1.3580754886830269","-0.8167804831348138","-1.0379873421789934","-0.602452906716676","-0.9295435161525101","-1.1508842825222303","-0.6836341667363376","-2.0001782237284322","-2.4330653829938025","-1.0985001713486515","-0.8546086215181845","-1.0452954694246435","-0.6258084914749829"
"44000","-1.9631496657247696","-2.280503179596231","-1.315041936204408","-0.8577997025942865","-1.036653018435626","-0.6234282279171336","-0.9720242786695353","-1.116520077685907","-0.8440238797977904","-2.0764230245975086","-2.446313326406528","-1.1268573375389894","-0.8453830719143245","-0.9554286046813655","-0.6586200589907466"
"44500","-1.934736288716562","-2.4749543280260156","-0.9056240796834704","-0.7858760131450131","-1.018366708505452","-0.5556623546104318","-0.8860777646525644","-1.0903716363019111","-0.6624704538682692","-2.073741886440648","-2.4543854282505024","-1.3022289714913924","-0.810493482833777","-0.9198566703640016","-0.6146137178949729"
"45000","-1.9621639185139959","-2.4121949889464567","-1.252572144011102","-0.8116776958871788","-0.9946070489926319","-0.5255835693589974","-0.9171899010843709","-1.0949404023100013","-0.6659109546507918","-2.0280585187060445","-2.50612042922629","-1.1469100214858956","-0.7880984166800162","-0.8968453227033375","-0.6144310185891426"
"45500","-1.8700152726116275","-2.3291180121607917","-1.173749318695426","-0.850270875620842","-1.139149892546634","-0.5481595149081279","-0.8993022544512103","-1.4434293010801107","-0.6719975465601914","-2.0286933863955143","-2.484505272053025","-1.238806610225594","-0.7773054097925896","-0.9335776632701954","-0.596798250684097"
"46000","-1.9241112742735162","-2.489853992513743","-1.039718528753066","-0.8186785589541744","-0.9997998781714699","-0.5671782250213673","-0.9118338176948761","-1.2357148933731283","-0.7171058288285694","-1.9822103085546594","-2.3390743833294825","-1.1614105259896146","-0.7964930227631501","-1.1159246681878303","-0.5768741880637757"
"46500","-1.9591294572189262","-2.3244679247179003","-1.4641251668760944","-0.8222366303441507","-1.0599241207217158","-0.5360358438280367","-0.872632341062866","-1.1600422560348567","-0.6752386772810526","-1.9578237560670453","-2.494752780151429","-1.0857587920559855","-0.8342286322095662","-1.053346096305055","-0.5521978506141495"
"47000","-1.816348944134295","-2.232035134362493","-0.9235896895218397","-0.7655768618848575","-0.9482264496234271","-0.6023066636803115","-0.7977449863396097","-1.0892600247467703","-0.6358645635983935","-2.092636099162317","-2.8037895646999837","-1.3120689621675212","-0.7441298123862279","-0.9361566976077051","-0.48892151801191125"
"47500","-1.9331609417261881","-2.419181357611156","-1.0401523531094568","-0.7956030390191542","-0.9734757505627425","-0.6208848134148233","-0.8854548573435943","-1.1930870018319346","-0.7371627283710303","-1.9706333758428851","-2.365585162206997","-1.0899649247443288","-0.7646817848503639","-1.0246499516010432","-0.5424182662837285"
"48000","-1.9239657118683593","-2.4405911160159968","-0.9488814984154953","-0.7674484397962875","-0.9552872954672068","-0.5176232005782","-0.8474937017522521","-1.024267505725549","-0.5737541435307868","-2.0397796200800835","-2.438312619036048","-1.0947994306914521","-0.7831223892145136","-0.9219521447864881","-0.5482264293838778"
"48500","-1.90696321983035","-2.460096352476303","-0.92157161403242","-0.7984279936344257","-0.9901224674194763","-0.5823306295369727","-0.8228007546324463","-1.0193756864556787","-0.6256302255074117","-2.0402854697718737","-2.496241019967895","-1.1860619797901728","-0.7631375327795092","-0.9076339110982288","-0.5101674134290726"
"49000","-1.9371682047679222","-2.440035704369568","-0.6882877218575464","-0.801714001035443","-1.1633608996618994","-0.5653936885456264","-0.8565564492828699","-1.1352689607735311","-0.6296285226883019","-1.9274958886294224","-2.468332981280411","-1.0725419841528376","-0.7857624710984341","-1.0415668867487204","-0.5821957317337747"
"49500","-1.9611023268303307","-2.5911815609247144","-1.0043627520333125","-0.7385010061314115","-0.9799930125460647","-0.5147846065231796","-0.8551738786339118","-1.019390336247651","-0.643015177566644","-1.9562071478731962","-2.41658517805532","-1.0971997004962648","-0.7858040856967213","-1.0540205284211623","-0.5516549619674894"
"50000","-1.8767232212214258","-2.510115074184422","-0.8989519973347221","-0.7842790355035285","-1.0054057629444952","-0.5701725122247167","-0.8691961419202519","-1.2541230215817962","-0.6699289341589267","-1.9565534556394852","-2.3545476462792037","-1.275641180116148","-0.75045155337818","-1.0751769693878934","-0.4682661396968725"
