"Step","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_geo - eval/avg_reward","Group: EQL_geo - eval/avg_reward__MIN","Group: EQL_geo - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"5000","-6.0611736698196506","-8.53192895133591","-4.301442904432713","-5.315332992565516","-7.349148734255787","-4.194909172237566","-6.404584993177546","-9.911588158268227","-4.559368560740528","-6.807944664969959","-12.208828064738274","-4.236528876498326","-5.142474824513253","-7.303414688451038","-3.2895882398737983"
"5500","-5.894060182524178","-8.655492811400535","-3.0928007968605864","-4.4779735424376685","-6.272657469178663","-3.5663658843370656","-6.404110324156386","-12.157474003051545","-3.0319784001992067","-5.464739650453696","-11.44964689480381","-3.7429904891036707","-4.654836133953554","-7.37592132202102","-3.478620496939024"
"6000","-4.597487381362342","-6.531170286758223","-2.7264081450240623","-3.8921116452018794","-5.650292858760219","-2.734045910311235","-5.535676336013008","-8.031738380351769","-3.115969486328601","-4.353827320627735","-5.902421942004264","-3.2945623039000003","-3.792471751021661","-5.171777333747558","-2.9587699643442855"
"6500","-4.4435611215012925","-5.705114246207438","-3.2551260190137716","-5.10372912805598","-8.214017474255444","-2.8198864941264725","-4.595298661314571","-6.62150229975706","-3.126960743228463","-4.54953799453176","-6.577256656905178","-3.4792200486694838","-4.420948802562826","-8.105222043429498","-2.282530874950546"
"7000","-3.854106628349796","-5.608555017424021","-2.567407486891131","-3.8759645181216333","-5.914633773512472","-2.0843817205877135","-4.498462794895747","-7.188372317008666","-2.8300415074866074","-5.584931704405387","-9.741971871387033","-2.8886391127468873","-3.5048624614526096","-6.005044724045692","-2.2256948132485372"
"7500","-4.146113979087739","-7.601074466752557","-2.701705544530865","-3.730640894888267","-4.485866243809163","-2.8220469191533617","-3.776200746806551","-5.359813855798396","-2.3227217671896185","-4.580313965152223","-6.924006602332066","-2.4333758005830726","-2.75852512164856","-3.817848465078442","-1.8020344634804997"
"8000","-3.4984707225721685","-5.69076962317305","-2.6559763871580486","-3.2022052058747525","-4.792614593626114","-2.432322452053209","-4.246926252163","-6.895520146588657","-2.624046768519203","-4.02502101639254","-5.883500415677628","-2.2933908927707014","-3.256910353014841","-7.521223705663123","-1.3754688547783482"
"8500","-2.9693308690406655","-3.8939235770482044","-1.8173942929686084","-3.1208016844962585","-4.459168362589578","-2.1524589981802156","-3.6318949959916758","-6.452521851894616","-2.142741067359536","-3.5787039707640433","-6.325438317441399","-2.266288905718323","-3.107477740878467","-9.987709750564909","-1.8619991451756839"
"9000","-3.301227821880348","-5.5295906691929595","-1.8138774238182385","-3.1495091113564806","-4.684229149784677","-1.5995059858212226","-3.321663840376565","-5.176896850781652","-1.9105385979873675","-3.826307325554365","-8.170919853572517","-2.0254744845396218","-3.366688736978574","-6.809682311178491","-1.9378690343047054"
"9500","-2.821446188274793","-4.483238321977555","-1.9254218516356771","-2.79038627872465","-3.577315953620078","-1.6017507725621747","-3.4560113903368004","-5.489297458305901","-1.4846096273483742","-3.950922443446862","-7.969369659350508","-1.8610838818153455","-2.506347782440708","-3.7064791196882134","-1.7366356329750754"
