step,TAAC_Pendulum-v1_0,TAAC_Pendulum-v1_1,TAAC_Pendulum-v1_10,TAAC_Pendulum-v1_11,TAAC_Pendulum-v1_12,TAAC_Pendulum-v1_13,TAAC_Pendulum-v1_14,TAAC_Pendulum-v1_15,TAAC_Pendulum-v1_16,TAAC_Pendulum-v1_17,TAAC_Pendulum-v1_18,TAAC_Pendulum-v1_19,TAAC_Pendulum-v1_2,TAAC_Pendulum-v1_3,TAAC_Pendulum-v1_4,TAAC_Pendulum-v1_5,TAAC_Pendulum-v1_6,TAAC_Pendulum-v1_7,TAAC_Pendulum-v1_8,TAAC_Pendulum-v1_9
8400,-122.29182220259727,-172.83353447274908,-148.1710939835745,-174.6638756837529,-103.29111682028947,-798.6509361214547,-145.4247568813535,-147.71237510603436,-214.2200300491185,-244.08224631210697,-637.9291127796771,-145.48379593089035,-122.27932116844269,-142.94056058437076,-122.18804252456388,-457.91642320764123,-212.0972227201808,-282.9497776094316,-171.683876946621,-147.2022189850544
8520,-122.35768193998929,-199.3198047755769,-147.92312189101358,-175.2209215164658,-104.17495337244267,-798.8753303263028,-144.83425996945775,-146.77955992622464,-214.10197718320438,-245.71676054673054,-653.7238864672256,-145.60981881017494,-122.69572067052631,-142.85240023374786,-121.9185419851819,-366.6535518786373,-211.60671648968656,-203.1668690494582,-171.8690763968787,-146.93903532105827
8640,-122.12636457473461,-224.9761782901579,-122.8314219704135,-174.6149116453633,-103.97923823840888,-798.5086881297458,-144.5921065832264,-147.09548456380077,-213.88717204322273,-243.44959298410473,-663.9845013930515,-145.71671120682416,-122.17073056528709,-142.17965322515323,-122.14644017932105,-575.4963315133449,-211.56524232313367,-334.87763899612975,-171.28535521119267,-146.45060173179053
8760,-122.03262883672278,-172.7337235695342,-121.64465737393554,-173.7745747793467,-103.12397840384847,-798.4446698648172,-145.5837405333782,-146.3328073573271,-214.21166808972367,-244.67371054680547,-688.0735247019111,-145.6087258977786,-121.83442982634952,-143.18643214274735,-121.36267128782454,-622.9037476953112,-211.49001136186445,-228.5940684787155,-171.23517428488705,-146.6708070895439
8880,-121.78346657781981,-172.56469988745806,-123.31590629355051,-173.2008756318322,-102.94312811435846,-797.9227567942578,-144.27314325442396,-146.42456396691162,-214.34214362287125,-243.5806644804702,-699.8971335651289,-144.47639140838191,-121.70418384431994,-143.07289250282625,-122.24922839130132,-424.87171243875383,-211.85973511176417,-123.37510478567285,-171.46121100007448,-146.56733172423932
9000,-121.82114127750317,-172.5742340621742,-123.58325696955815,-173.18810393637983,-102.92400838583312,-272.23125632970994,-146.41413207907596,-146.4112788829556,-215.0793303625491,-243.46830408863448,-714.0699587847636,-144.80868138734604,-121.63370834420478,-143.2366348379069,-121.74249801483663,-394.2306771225467,-212.19915828897985,-123.35711914723035,-171.26306400326933,-146.38427716956124
9120,-121.6424974417243,-199.2416755272355,-122.97282080311932,-172.74081317452914,-103.07177509391661,-193.11521647921327,-146.73831324242454,-146.42972251796797,-214.08850700017993,-242.59293182651692,-677.0110543080875,-146.0275396589878,-121.84285378134527,-142.89323272770673,-121.22288046197555,-394.60797440198496,-212.15972681118987,-123.45293649525959,-170.4513982528931,-146.29377526015412
9240,-121.62064489385723,-198.93668617687533,-121.79894191125462,-173.6589985685129,-102.7614034308572,-192.8749535890487,-147.14595456761558,-145.79096634003955,-214.05059053191877,-244.02825210192995,-677.679678032787,-144.45708724662737,-121.76092368632055,-142.28301791049398,-121.97311013423692,-394.64554261442544,-212.2117397615156,-123.47761016100405,-170.41171421829125,-146.7672985241501
9360,-121.56450061408457,-356.9713433290406,-122.44688584076694,-172.38089037901585,-103.09824438629468,-192.6846397159259,-146.96505848048304,-146.34980939394202,-213.6355127520331,-244.4667529038175,-631.1433027129972,-146.4942530290296,-121.0873019932749,-142.13249894569486,-121.3064788596611,-388.7726813712952,-212.4417885846627,-123.56855053127074,-170.83166003263165,-146.66849987769237
9480,-121.57753196206643,-279.46482810925255,-124.32219899897348,-171.91516206899658,-102.66110707927592,-192.74632650626248,-145.74985876966608,-145.92501463054654,-213.65893141126435,-244.34456110555476,-558.3778915203492,-144.69292831218496,-121.42549156211763,-142.41289858232042,-121.77211043936174,-389.57448719449883,-212.1381315022757,-123.52010818775977,-170.11285611309205,-146.79024215430118
9600,-121.51898268518907,-358.65025690849797,-124.09627876623799,-171.8465254201488,-102.58568548505767,-192.90958899538214,-145.76080550867079,-145.56311873826425,-213.44365179010092,-244.2586282386509,-538.4278256369557,-143.9172821414205,-120.8465162415072,-141.7787501965816,-122.22280212237006,-388.69527437932356,-212.95016035538984,-123.32749681536407,-169.73110135334028,-146.85065531024952
9720,-121.56387743621437,-306.87712083408314,-122.87889958432315,-171.74287330459094,-102.04426373133892,-193.07410609573563,-145.00528710918294,-145.61055146384905,-213.53595703108476,-243.76695626925215,-495.41879421861887,-145.7121925773391,-120.70927531200441,-141.9173029289187,-121.27389152641497,-387.1554835528001,-212.16080697268725,-123.34504631694024,-169.35779510964295,-146.56566799114825
9840,-121.51770318021138,-356.34316009484746,-124.43921996334423,-171.98293774054497,-101.92019169509665,-192.60968008342513,-145.14817676873764,-145.8340046913623,-213.29976852264144,-243.04391943362833,-192.19017762035293,-145.04063020075586,-120.67258512260128,-141.83883006863962,-121.30652381903981,-386.09632933630627,-211.9822204111105,-123.49162598524128,-169.87712957703658,-146.7127753566402
9960,-121.60474335271053,-223.95989320420443,-125.42488900945484,-171.70338748872354,-101.83521114058654,-192.68263515158822,-145.45464443611925,-145.96443881687077,-213.18931329382758,-242.885607863952,-191.54012142838238,-146.149620558668,-120.4425664287406,-141.851357008115,-121.43600907313264,-170.95051799523094,-212.0007538413914,-123.40902704982075,-169.62768924320682,-146.75871591148652
10080,-121.56716106619706,-250.07230541171785,-130.92283024555354,-171.75306023112708,-102.70445940964046,-192.86703912921774,-146.2762236574585,-146.0334612595139,-213.06452085877316,-242.72866545834094,-191.58246973669765,-143.70889084335047,-120.51845279184208,-141.79937397620017,-121.30062140636535,-378.7207276277742,-210.44996169062455,-123.41895655545079,-169.5035112368833,-146.3582697724176
10200,-121.56035685246351,-250.17760117463732,-128.6043111818048,-171.11867778622212,-102.63835309163532,-192.85070995716387,-145.2330081408457,-145.86956603839994,-213.4376125644204,-241.9891176961577,-191.92275522705566,-145.3475796725086,-120.35814779785808,-141.59433980262244,-121.68028765982938,-171.14181916342872,-210.9891276271634,-123.31810649285698,-170.3544184207307,-147.06315516789084
10320,-121.62627377295999,-197.96214666198884,-128.07694569836045,-171.26791172169686,-102.632169585162,-192.65040168516765,-145.45331534952146,-145.98007523084533,-213.27000092108355,-241.911058354133,-192.66409260327958,-143.61581208046204,-119.98450304644146,-141.54710726225738,-121.2451791832837,-170.860756648333,-210.73131501219683,-123.54786296587118,-169.96663771050376,-146.99977177958996
10440,-121.62955762659335,-198.3012858873365,-128.61864145134206,-171.8233628719676,-102.58599169064746,-192.53402536175113,-145.94195725481373,-146.05889827714836,-213.37867959771242,-240.95219594240066,-191.93428462828942,-144.92274599203188,-120.15565159140746,-141.19202345597705,-120.12742553998517,-170.61089928258826,-210.61034367644424,-123.39903787464284,-170.20547669138222,-146.09261287868063
10560,-121.59198379201766,-250.0958519857007,-130.9596563592982,-172.15868590926056,-102.58987866796456,-192.42799412475608,-145.82829940730085,-146.21460604915927,-213.19631916730927,-239.93221312893866,-192.60075720416313,-143.3623852304894,-120.0320808860985,-141.07390805742915,-120.79813497468095,-171.11967579978136,-210.3542148333144,-123.6546469831856,-170.2415613294454,-145.59480361969352
10680,-121.65043136117372,-199.4886486172317,-129.8003988498627,-172.2323531474107,-102.45344964224346,-192.52304412828582,-145.29106895735032,-146.09676022837607,-213.3192365018196,-240.34447053609802,-192.7086627777207,-144.7539455698052,-120.05285722602409,-141.01281104563233,-121.5470379739453,-171.16764809333517,-210.10579521360805,-123.47623537573898,-170.00796281640518,-145.82127155675943
10800,-121.7523951709971,-198.2814962706208,-129.58839427823526,-171.86339542990473,-102.43371615081738,-192.86487348251492,-145.68293996549724,-146.22227951860003,-213.22276782555795,-240.3525070230625,-192.52330975278988,-170.86913114420474,-119.75751983950883,-140.86832284821938,-121.67804930096027,-171.08001516927055,-210.49304730535377,-123.4127367332062,-170.08028557362732,-145.3033148299485
10920,-121.70607231980193,-199.15780353204454,-129.60565863968898,-171.91806361721302,-102.45784808246212,-193.07656754308883,-145.8263070664289,-146.5187366569931,-213.47714804762273,-239.55426912154834,-191.34292534722223,-144.72435119847106,-119.62073172732633,-140.7683932684791,-121.76003582721198,-170.7715744311468,-209.96814583729605,-123.68803006422804,-170.22251551152885,-145.10376332502437
11040,-121.93592419518761,-276.4442016075458,-131.17309306010372,-171.967775721864,-102.46488270286738,-193.16235092105325,-145.50299336780142,-146.2273587949573,-213.73971077736684,-239.6823849785548,-191.75705855821366,-144.6974089154645,-119.8994530728603,-140.78203823278093,-121.65419585426714,-171.49092965869653,-209.96280600920576,-123.57068792773161,-169.9737506587015,-145.03348041391118
11160,-121.98361519336507,-301.7321940908017,-130.94657990936545,-171.99559720214683,-102.44349235974505,-193.25469054224203,-145.15042389694096,-146.43990566090633,-213.49373202614802,-240.32341787152146,-191.3864137127464,-170.45256468286559,-119.69194332441778,-140.85704483051668,-121.51248258345679,-171.28081361158166,-210.16866304773507,-122.6368916102206,-170.28647154807814,-144.97013964609488
11280,-121.95356515862383,-327.9148338928484,-131.47016334604555,-171.63748928514042,-102.40932011347222,-193.0374066276009,-145.43878402663253,-146.1976871446048,-213.6076909143651,-238.5224376433179,-191.58606157972767,-144.43692470299652,-119.65475780474074,-140.80802712004228,-121.63071686548616,-171.06861600366756,-210.23798144121974,-123.39205114719945,-170.40282615820456,-144.8834089210752
11400,-121.95958989628996,-197.46683838409996,-131.7061071452932,-171.97873158324032,-102.46681122680926,-193.48774787726907,-145.2211405139938,-146.29136622685738,-213.84569805523748,-238.48518017084916,-191.98778580652834,-143.61753659627544,-119.55403852446587,-140.8222881174566,-121.25922128370298,-364.6197107530074,-210.15717182632687,-123.50352521686678,-169.85598971179863,-144.9384210705417
11520,-122.06280667145525,-249.38860257606603,-126.62865011953595,-172.01355367249272,-102.4877226856815,-193.30502378890014,-144.08547442326065,-146.57750947408914,-213.58130454401967,-239.15325254255012,-192.02362549295609,-144.00083940062123,-119.55101862062489,-140.8341720921247,-121.23412878762247,-171.2555456922508,-210.21244789330552,-123.83027931827269,-169.8919884783931,-145.00980591165612
11640,-122.07651999461692,-197.79235323018503,-127.89759258152972,-171.99997170126161,-102.49866657238442,-193.49996920675915,-144.76027207300774,-146.5118250348911,-214.10441908841457,-237.88252233421537,-191.60165803078547,-143.78910770281067,-119.59702624986467,-140.78966735986214,-121.3426218799137,-171.11302329841402,-210.1573078547438,-122.99853016022136,-170.37365697371192,-144.822612303559
11760,-122.12258139147828,-197.7943095540468,-125.91846952960285,-171.94926119464185,-102.5636110477893,-193.6199890836986,-143.98021873767408,-146.31024270116004,-214.02040619000127,-237.78369523779247,-191.57800425673514,-142.99886806687437,-119.44067516616353,-140.78699004749163,-121.27628234371025,-171.8620391149289,-210.14669354100664,-122.80615793196145,-170.32323499891748,-144.7751611595848
11880,-122.18911338252,-198.15718903171202,-124.60378509411517,-172.0738829818608,-102.47491080874838,-193.76418085549582,-144.04273247629993,-146.3564304718484,-214.1884824539715,-237.3416167129787,-191.6814753375802,-143.4194256120216,-119.58227437202702,-140.78259123716484,-121.27878316866065,-172.08199437102144,-210.23964937148844,-122.76704863084255,-170.09460107159495,-144.7363106248901
12000,-122.14986739594124,-197.89027629526987,-124.5238885284123,-171.97665633131865,-102.38678148362246,-193.9754742092568,-144.25417411381812,-146.58440172513588,-214.23005413862202,-237.77334522642627,-191.7645416860642,-143.52322156271742,-119.69428868912048,-140.78676344320542,-121.26518911988087,-172.1885398042985,-210.46523447623008,-122.3199318127588,-170.4374828538668,-144.74401061209176
12120,-122.09538483369208,-198.30813936959134,-124.3163783278699,-172.08052813686086,-102.18984614651995,-194.81464173409492,-143.17336120572364,-146.11239053361604,-214.24321126046362,-237.33647738908434,-191.82520554790136,-143.45532422295622,-120.07761000005394,-140.8038488615245,-121.28914722470215,-172.4792065161846,-210.41220916946912,-122.77677413072263,-169.8418464917359,-144.65040841601632
