"Step","DQN_UTE_ZigZag_100 - eval/avg_reward","DQN_UTE_ZigZag_100 - eval/avg_reward__MIN","DQN_UTE_ZigZag_100 - eval/avg_reward__MAX","DQN_UTE_ZigZag_90 - eval/avg_reward","DQN_UTE_ZigZag_90 - eval/avg_reward__MIN","DQN_UTE_ZigZag_90 - eval/avg_reward__MAX","DQN_UTE_ZigZag_80 - eval/avg_reward","DQN_UTE_ZigZag_80 - eval/avg_reward__MIN","DQN_UTE_ZigZag_80 - eval/avg_reward__MAX","DQN_UTE_ZigZag_70 - eval/avg_reward","DQN_UTE_ZigZag_70 - eval/avg_reward__MIN","DQN_UTE_ZigZag_70 - eval/avg_reward__MAX","DQN_UTE_ZigZag_60 - eval/avg_reward","DQN_UTE_ZigZag_60 - eval/avg_reward__MIN","DQN_UTE_ZigZag_60 - eval/avg_reward__MAX","DQN_UTE_ZigZag_50 - eval/avg_reward","DQN_UTE_ZigZag_50 - eval/avg_reward__MIN","DQN_UTE_ZigZag_50 - eval/avg_reward__MAX","DQN_UTE_ZigZag_40 - eval/avg_reward","DQN_UTE_ZigZag_40 - eval/avg_reward__MIN","DQN_UTE_ZigZag_40 - eval/avg_reward__MAX","DQN_UTE_ZigZag_30 - eval/avg_reward","DQN_UTE_ZigZag_30 - eval/avg_reward__MIN","DQN_UTE_ZigZag_30 - eval/avg_reward__MAX","DQN_UTE_ZigZag_20 - eval/avg_reward","DQN_UTE_ZigZag_20 - eval/avg_reward__MIN","DQN_UTE_ZigZag_20 - eval/avg_reward__MAX","DQN_UTE_ZigZag_10 - eval/avg_reward","DQN_UTE_ZigZag_10 - eval/avg_reward__MIN","DQN_UTE_ZigZag_10 - eval/avg_reward__MAX"
"17000","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"17500","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"18000","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"18500","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"19000","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"19500","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"20000","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"20500","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20"
"21000","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"21500","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"22000","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"22500","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20"
"23000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"23500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"24000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"24500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"25000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"25500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"26000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"26500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"27000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"27500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"28000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"28500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"29000","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"29500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"30000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"30500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"31000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"31500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"32000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"32500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"33000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"33500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"34000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"34500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"35000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"35500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"36000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"36500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"37000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"37500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-21","-21","-21","-20","-20","-20","-20","-20","-20"
"38000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"38500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22"
"39000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"39500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"41000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"41500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
