"Step","DQN_None_ZigZag_100 - eval/avg_reward","DQN_None_ZigZag_100 - eval/avg_reward__MIN","DQN_None_ZigZag_100 - eval/avg_reward__MAX","DQN_None_ZigZag_90 - eval/avg_reward","DQN_None_ZigZag_90 - eval/avg_reward__MIN","DQN_None_ZigZag_90 - eval/avg_reward__MAX","DQN_None_ZigZag_80 - eval/avg_reward","DQN_None_ZigZag_80 - eval/avg_reward__MIN","DQN_None_ZigZag_80 - eval/avg_reward__MAX","DQN_None_ZigZag_70 - eval/avg_reward","DQN_None_ZigZag_70 - eval/avg_reward__MIN","DQN_None_ZigZag_70 - eval/avg_reward__MAX","DQN_None_ZigZag_60 - eval/avg_reward","DQN_None_ZigZag_60 - eval/avg_reward__MIN","DQN_None_ZigZag_60 - eval/avg_reward__MAX","DQN_None_ZigZag_50 - eval/avg_reward","DQN_None_ZigZag_50 - eval/avg_reward__MIN","DQN_None_ZigZag_50 - eval/avg_reward__MAX","DQN_None_ZigZag_40 - eval/avg_reward","DQN_None_ZigZag_40 - eval/avg_reward__MIN","DQN_None_ZigZag_40 - eval/avg_reward__MAX","DQN_None_ZigZag_30 - eval/avg_reward","DQN_None_ZigZag_30 - eval/avg_reward__MIN","DQN_None_ZigZag_30 - eval/avg_reward__MAX","DQN_None_ZigZag_20 - eval/avg_reward","DQN_None_ZigZag_20 - eval/avg_reward__MIN","DQN_None_ZigZag_20 - eval/avg_reward__MAX","DQN_None_ZigZag_10 - eval/avg_reward","DQN_None_ZigZag_10 - eval/avg_reward__MIN","DQN_None_ZigZag_10 - eval/avg_reward__MAX"
"18500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"19000","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"19500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"20000","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"20500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"21000","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-113","-113","-113","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"21500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22"
"22000","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22"
"22500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"23000","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-114","-114","-114","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22"
"23500","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20"
"24000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"24500","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"25000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"25500","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"26000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"26500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"27000","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-20","-20","-20"
"27500","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-100","-100","-100"
"28000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-100","-100","-100"
"28500","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-100","-100","-100"
"29000","-20","-20","-20","-20","-20","-20","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"29500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"30000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"30500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"31000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"31500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"32000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20"
"32500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"33000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"33500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
