"Step","DQN_EQL_ZigZag_19 - eval/avg_reward","DQN_EQL_ZigZag_19 - eval/avg_reward__MIN","DQN_EQL_ZigZag_19 - eval/avg_reward__MAX","DQN_EQL_ZigZag_18 - eval/avg_reward","DQN_EQL_ZigZag_18 - eval/avg_reward__MIN","DQN_EQL_ZigZag_18 - eval/avg_reward__MAX","DQN_EQL_ZigZag_17 - eval/avg_reward","DQN_EQL_ZigZag_17 - eval/avg_reward__MIN","DQN_EQL_ZigZag_17 - eval/avg_reward__MAX","DQN_EQL_ZigZag_16 - eval/avg_reward","DQN_EQL_ZigZag_16 - eval/avg_reward__MIN","DQN_EQL_ZigZag_16 - eval/avg_reward__MAX","DQN_EQL_ZigZag_15 - eval/avg_reward","DQN_EQL_ZigZag_15 - eval/avg_reward__MIN","DQN_EQL_ZigZag_15 - eval/avg_reward__MAX","DQN_EQL_ZigZag_14 - eval/avg_reward","DQN_EQL_ZigZag_14 - eval/avg_reward__MIN","DQN_EQL_ZigZag_14 - eval/avg_reward__MAX","DQN_EQL_ZigZag_13 - eval/avg_reward","DQN_EQL_ZigZag_13 - eval/avg_reward__MIN","DQN_EQL_ZigZag_13 - eval/avg_reward__MAX","DQN_EQL_ZigZag_12 - eval/avg_reward","DQN_EQL_ZigZag_12 - eval/avg_reward__MIN","DQN_EQL_ZigZag_12 - eval/avg_reward__MAX","DQN_EQL_ZigZag_11 - eval/avg_reward","DQN_EQL_ZigZag_11 - eval/avg_reward__MIN","DQN_EQL_ZigZag_11 - eval/avg_reward__MAX","DQN_EQL_ZigZag_10 - eval/avg_reward","DQN_EQL_ZigZag_10 - eval/avg_reward__MIN","DQN_EQL_ZigZag_10 - eval/avg_reward__MAX","DQN_EQL_ZigZag_9 - eval/avg_reward","DQN_EQL_ZigZag_9 - eval/avg_reward__MIN","DQN_EQL_ZigZag_9 - eval/avg_reward__MAX","DQN_EQL_ZigZag_8 - eval/avg_reward","DQN_EQL_ZigZag_8 - eval/avg_reward__MIN","DQN_EQL_ZigZag_8 - eval/avg_reward__MAX","DQN_EQL_ZigZag_7 - eval/avg_reward","DQN_EQL_ZigZag_7 - eval/avg_reward__MIN","DQN_EQL_ZigZag_7 - eval/avg_reward__MAX","DQN_EQL_ZigZag_6 - eval/avg_reward","DQN_EQL_ZigZag_6 - eval/avg_reward__MIN","DQN_EQL_ZigZag_6 - eval/avg_reward__MAX","DQN_EQL_ZigZag_5 - eval/avg_reward","DQN_EQL_ZigZag_5 - eval/avg_reward__MIN","DQN_EQL_ZigZag_5 - eval/avg_reward__MAX","DQN_EQL_ZigZag_4 - eval/avg_reward","DQN_EQL_ZigZag_4 - eval/avg_reward__MIN","DQN_EQL_ZigZag_4 - eval/avg_reward__MAX","DQN_EQL_ZigZag_3 - eval/avg_reward","DQN_EQL_ZigZag_3 - eval/avg_reward__MIN","DQN_EQL_ZigZag_3 - eval/avg_reward__MAX","DQN_EQL_ZigZag_2 - eval/avg_reward","DQN_EQL_ZigZag_2 - eval/avg_reward__MIN","DQN_EQL_ZigZag_2 - eval/avg_reward__MAX","DQN_EQL_ZigZag_1 - eval/avg_reward","DQN_EQL_ZigZag_1 - eval/avg_reward__MIN","DQN_EQL_ZigZag_1 - eval/avg_reward__MAX","DQN_EQL_ZigZag_0 - eval/avg_reward","DQN_EQL_ZigZag_0 - eval/avg_reward__MIN","DQN_EQL_ZigZag_0 - eval/avg_reward__MAX"
"10200","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-27","-27","-27","-20","-20","-20","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-116","-116","-116"
"10500","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-24","-24","-24","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"10800","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-24","-24","-24","-100","-100","-100","-24","-24","-24","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"11100","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-24","-24","-24","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"11400","-20","-20","-20","-23","-23","-23","-100","-100","-100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-24","-24","-24","-20","-20","-20","-23","-23","-23","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"11700","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-24","-24","-24","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12000","-20","-20","-20","-22","-22","-22","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-100","-100","-100","-115","-115","-115","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12300","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-24","-24","-24","-20","-20","-20","-23","-23","-23","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12600","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-24","-24","-24","-20","-20","-20","-23","-23","-23","-23","-23","-23","-116","-116","-116","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"12900","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-100","-100","-100","-116","-116","-116","-22","-22","-22","-20","-20","-20","-115","-115","-115","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"13200","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"13500","-20","-20","-20","-22","-22","-22","-22","-22","-22","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-20","-20","-20","-22","-22","-22","-100","-100","-100","-23","-23","-23","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"13800","-20","-20","-20","-22","-22","-22","-23","-23","-23","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-23","-23","-23","-20","-20","-20","-22","-22","-22","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-22","-22","-22","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
