"Step","DQN_TempoRL_Bridge_100 - eval/avg_reward","DQN_TempoRL_Bridge_100 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_100 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_90 - eval/avg_reward","DQN_TempoRL_Bridge_90 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_90 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_80 - eval/avg_reward","DQN_TempoRL_Bridge_80 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_80 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_70 - eval/avg_reward","DQN_TempoRL_Bridge_70 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_70 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_60 - eval/avg_reward","DQN_TempoRL_Bridge_60 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_60 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_50 - eval/avg_reward","DQN_TempoRL_Bridge_50 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_50 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_40 - eval/avg_reward","DQN_TempoRL_Bridge_40 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_40 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_30 - eval/avg_reward","DQN_TempoRL_Bridge_30 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_30 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_20 - eval/avg_reward","DQN_TempoRL_Bridge_20 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_20 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX"
"19000","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-107","-107","-107","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"19500","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-108","-108","-108","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-108","-108","-108","-13","-13","-13","-106","-106","-106","-13","-13","-13","-13","-13","-13"
"20500","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21000","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21500","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-106","-106","-106","-13","-13","-13","-13","-13","-13"
"22000","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-106","-106","-106","-13","-13","-13","-13","-13","-13"
"22500","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"23000","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"23500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
