"Step","DQN_EQL_Bridge_100 - eval/avg_reward","DQN_EQL_Bridge_100 - eval/avg_reward__MIN","DQN_EQL_Bridge_100 - eval/avg_reward__MAX","DQN_EQL_Bridge_90 - eval/avg_reward","DQN_EQL_Bridge_90 - eval/avg_reward__MIN","DQN_EQL_Bridge_90 - eval/avg_reward__MAX","DQN_EQL_Bridge_80 - eval/avg_reward","DQN_EQL_Bridge_80 - eval/avg_reward__MIN","DQN_EQL_Bridge_80 - eval/avg_reward__MAX","DQN_EQL_Bridge_70 - eval/avg_reward","DQN_EQL_Bridge_70 - eval/avg_reward__MIN","DQN_EQL_Bridge_70 - eval/avg_reward__MAX","DQN_EQL_Bridge_60 - eval/avg_reward","DQN_EQL_Bridge_60 - eval/avg_reward__MIN","DQN_EQL_Bridge_60 - eval/avg_reward__MAX","DQN_EQL_Bridge_50 - eval/avg_reward","DQN_EQL_Bridge_50 - eval/avg_reward__MIN","DQN_EQL_Bridge_50 - eval/avg_reward__MAX","DQN_EQL_Bridge_40 - eval/avg_reward","DQN_EQL_Bridge_40 - eval/avg_reward__MIN","DQN_EQL_Bridge_40 - eval/avg_reward__MAX","DQN_EQL_Bridge_30 - eval/avg_reward","DQN_EQL_Bridge_30 - eval/avg_reward__MIN","DQN_EQL_Bridge_30 - eval/avg_reward__MAX","DQN_EQL_Bridge_20 - eval/avg_reward","DQN_EQL_Bridge_20 - eval/avg_reward__MIN","DQN_EQL_Bridge_20 - eval/avg_reward__MAX","DQN_EQL_Bridge_10 - eval/avg_reward","DQN_EQL_Bridge_10 - eval/avg_reward__MIN","DQN_EQL_Bridge_10 - eval/avg_reward__MAX"
"19500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"20000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"20500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"21000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"21500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102"
"22500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"23000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"23500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"24000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"24500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"25000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"25500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"26000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"26500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-102","-102","-102","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"27000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"27500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"28000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"28500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"29000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"29500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"30000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"30500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"31000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"31500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"32000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"32500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"33000","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"33500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102"
"34000","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"34500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"35000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"35500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"36000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"36500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101"
"37000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13"
"37500","-13","-13","-13","-13","-13","-13","-101","-101","-101","-101","-101","-101","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101"
"38000","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-16","-16","-16","-13","-13","-13","-13","-13","-13"
"38500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-101","-101","-101","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
"39000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101"
