"Step","DQN_None_Bridge_100 - eval/avg_reward","DQN_None_Bridge_100 - eval/avg_reward__MIN","DQN_None_Bridge_100 - eval/avg_reward__MAX","DQN_None_Bridge_90 - eval/avg_reward","DQN_None_Bridge_90 - eval/avg_reward__MIN","DQN_None_Bridge_90 - eval/avg_reward__MAX","DQN_None_Bridge_80 - eval/avg_reward","DQN_None_Bridge_80 - eval/avg_reward__MIN","DQN_None_Bridge_80 - eval/avg_reward__MAX","DQN_None_Bridge_70 - eval/avg_reward","DQN_None_Bridge_70 - eval/avg_reward__MIN","DQN_None_Bridge_70 - eval/avg_reward__MAX","DQN_None_Bridge_60 - eval/avg_reward","DQN_None_Bridge_60 - eval/avg_reward__MIN","DQN_None_Bridge_60 - eval/avg_reward__MAX","DQN_None_Bridge_50 - eval/avg_reward","DQN_None_Bridge_50 - eval/avg_reward__MIN","DQN_None_Bridge_50 - eval/avg_reward__MAX","DQN_None_Bridge_40 - eval/avg_reward","DQN_None_Bridge_40 - eval/avg_reward__MIN","DQN_None_Bridge_40 - eval/avg_reward__MAX","DQN_None_Bridge_30 - eval/avg_reward","DQN_None_Bridge_30 - eval/avg_reward__MIN","DQN_None_Bridge_30 - eval/avg_reward__MAX","DQN_None_Bridge_20 - eval/avg_reward","DQN_None_Bridge_20 - eval/avg_reward__MIN","DQN_None_Bridge_20 - eval/avg_reward__MAX","DQN_None_Bridge_10 - eval/avg_reward","DQN_None_Bridge_10 - eval/avg_reward__MIN","DQN_None_Bridge_10 - eval/avg_reward__MAX"
"18500","-100","-100","-100","-13","-13","-13","-111","-111","-111","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-112","-112","-112","-13","-13","-13","-13","-13","-13"
"19000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-112","-112","-112","-13","-13","-13","-13","-13","-13"
"19500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20000","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20500","-100","-100","-100","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21000","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22000","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"23000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
