"Step","DQN_UTE_Bridge_100 - eval/avg_reward","DQN_UTE_Bridge_100 - eval/avg_reward__MIN","DQN_UTE_Bridge_100 - eval/avg_reward__MAX","DQN_UTE_Bridge_90 - eval/avg_reward","DQN_UTE_Bridge_90 - eval/avg_reward__MIN","DQN_UTE_Bridge_90 - eval/avg_reward__MAX","DQN_UTE_Bridge_80 - eval/avg_reward","DQN_UTE_Bridge_80 - eval/avg_reward__MIN","DQN_UTE_Bridge_80 - eval/avg_reward__MAX","DQN_UTE_Bridge_70 - eval/avg_reward","DQN_UTE_Bridge_70 - eval/avg_reward__MIN","DQN_UTE_Bridge_70 - eval/avg_reward__MAX","DQN_UTE_Bridge_60 - eval/avg_reward","DQN_UTE_Bridge_60 - eval/avg_reward__MIN","DQN_UTE_Bridge_60 - eval/avg_reward__MAX","DQN_UTE_Bridge_50 - eval/avg_reward","DQN_UTE_Bridge_50 - eval/avg_reward__MIN","DQN_UTE_Bridge_50 - eval/avg_reward__MAX","DQN_UTE_Bridge_40 - eval/avg_reward","DQN_UTE_Bridge_40 - eval/avg_reward__MIN","DQN_UTE_Bridge_40 - eval/avg_reward__MAX","DQN_UTE_Bridge_30 - eval/avg_reward","DQN_UTE_Bridge_30 - eval/avg_reward__MIN","DQN_UTE_Bridge_30 - eval/avg_reward__MAX","DQN_UTE_Bridge_20 - eval/avg_reward","DQN_UTE_Bridge_20 - eval/avg_reward__MIN","DQN_UTE_Bridge_20 - eval/avg_reward__MAX","DQN_UTE_Bridge_10 - eval/avg_reward","DQN_UTE_Bridge_10 - eval/avg_reward__MIN","DQN_UTE_Bridge_10 - eval/avg_reward__MAX"
"17000","-13","-13","-13","-100","-100","-100","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"17500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"18000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"18500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"19000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"19500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-100","-100","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"20500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"21500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"22500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"23000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"23500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"24000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
