"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"13500","-39.1","-100","-13","-53.55555555555556","-109","-13","-42","-100","-13","-13.11111111111111","-14","-13","-21.9","-100","-13","-90","-101","-13","-23.875","-100","-13","-13.125","-14","-13","-13","-13","-13","-35","-102","-13","-25.428571428571427","-100","-13","-85.5","-100","-13"
"14000","-22.1","-100","-13","-13.11111111111111","-14","-13","-42.55555555555556","-105","-13","-13","-13","-13","-30.6","-100","-13","-79","-102","-13","-23.875","-100","-13","-24.125","-100","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-85.83333333333333","-100","-15"
"14500","-13.4","-15","-13","-13","-13","-13","-33.111111111111114","-105","-13","-22.666666666666668","-100","-13","-30.6","-100","-13","-90.25","-102","-13","-23.875","-100","-13","-24.125","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-85.5","-100","-13"
"15000","-22.1","-100","-13","-23.666666666666668","-108","-13","-23.22222222222222","-105","-13","-22.666666666666668","-100","-13","-21.7","-100","-13","-46.125","-102","-13","-24.125","-100","-13","-34.75","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-85.5","-100","-13"
"15500","-30.8","-100","-13","-13.11111111111111","-14","-13","-33.22222222222222","-107","-13","-32.333333333333336","-100","-13","-21.7","-100","-13","-57.375","-102","-13","-24.125","-100","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-25.571428571428573","-100","-13","-85.5","-100","-13"
"16000","-21.8","-100","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-13.4","-17","-13","-68.25","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-71","-100","-13"
"16500","-21.9","-100","-13","-13","-13","-13","-33.55555555555556","-109","-13","-13","-13","-13","-13","-13","-13","-46.125","-101","-13","-23.875","-100","-13","-13","-13","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-71","-100","-13"
"17000","-21.8","-100","-13","-13","-13","-13","-44.666666666666664","-110","-13","-22.666666666666668","-100","-13","-13.2","-15","-13","-101.25","-102","-101","-24.125","-100","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-71","-100","-13"
"17500","-21.8","-100","-13","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13.2","-15","-13","-79.25","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-71","-100","-13"
"18000","-21.8","-100","-13","-22.88888888888889","-100","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13.1","-14","-13","-101.125","-102","-101","-24","-100","-13","-14","-21","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-71","-100","-13"
"18500","-21.8","-100","-13","-22.666666666666668","-100","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13.1","-14","-13","-57.25","-102","-13","-23.875","-100","-13","-14","-21","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-71","-100","-13"
"19000","-13","-13","-13","-13","-13","-13","-22.77777777777778","-100","-13","-22.666666666666668","-100","-13","-13.1","-14","-13","-68.125","-102","-13","-24","-100","-13","-13","-13","-13","-34.875","-100","-13","-24","-101","-13","-13","-13","-13","-56.5","-100","-13"
"19500","-21.7","-100","-13","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13","-13","-13","-46.25","-102","-13","-24","-100","-13","-23.875","-100","-13","-13.125","-14","-13","-24","-101","-13","-13","-13","-13","-42","-100","-13"
