"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX"
"14500","-52.9","-100","-20","-100","-100","-100","-50.25","-100","-20","-51.75","-114","-20","-30","-100","-20","-36.8","-100","-20","-83.3","-120","-22","-44.3","-100","-20","-53.9","-119","-20","-68","-100","-20","-33.5","-101","-20","-20.4","-22","-20"
"15000","-52.6","-100","-20","-101.4","-114","-100","-40.25","-100","-20","-52","-114","-20","-40.25","-100","-20","-36.5","-100","-20","-54.9","-120","-20","-28.7","-100","-20","-46.9","-119","-20","-68","-100","-20","-35","-110","-20","-20","-20","-20"
"15500","-60.5","-100","-20","-102.1","-121","-100","-50","-100","-20","-51.75","-114","-20","-30","-100","-20","-44.1","-100","-20","-54.8","-120","-20","-44.3","-100","-20","-28","-100","-20","-52","-100","-20","-33.5","-101","-20","-20.2","-21","-20"
"16000","-36.4","-100","-20","-100","-100","-100","-50.25","-100","-20","-62","-114","-20","-30","-100","-20","-44.4","-100","-20","-62.6","-111","-20","-20.9","-23","-20","-28.1","-100","-20","-36.2","-100","-20","-33.666666666666664","-101","-20","-20","-20","-20"
"16500","-36.4","-100","-20","-100","-100","-100","-40.25","-100","-20","-60","-100","-20","-30","-100","-20","-44.1","-100","-20","-63","-111","-20","-21","-22","-20","-20.3","-22","-20","-36","-100","-20","-33.5","-101","-20","-20","-20","-20"
"17000","-36.2","-100","-20","-100","-100","-100","-60.125","-100","-20","-60","-100","-20","-40","-100","-20","-44.3","-100","-20","-53.6","-110","-20","-28.8","-100","-20","-20","-20","-20","-52","-100","-20","-33.5","-101","-20","-20","-20","-20"
"17500","-28.4","-100","-20","-101.4","-114","-100","-40","-100","-20","-60","-100","-20","-40.25","-100","-20","-44","-100","-20","-46.1","-119","-20","-21.1","-22","-20","-28.1","-100","-20","-36","-100","-20","-34.833333333333336","-109","-20","-20","-20","-20"
"18000","-28.4","-100","-20","-84.2","-100","-20","-40","-100","-20","-60","-100","-20","-30","-100","-20","-44.4","-100","-20","-53.2","-110","-20","-21","-22","-20","-28.1","-100","-20","-36","-100","-20","-48.666666666666664","-111","-20","-20","-20","-20"
"18500","-36.3","-100","-20","-100","-100","-100","-20.125","-21","-20","-70","-100","-20","-30","-100","-20","-36.4","-100","-20","-53.7","-110","-20","-21","-22","-20","-37.9","-119","-20","-36","-100","-20","-35.166666666666664","-111","-20","-20","-20","-20"
"19000","-36.2","-100","-20","-92","-100","-20","-20","-20","-20","-50","-100","-20","-30","-100","-20","-44.3","-100","-20","-60.1","-101","-20","-29.2","-100","-20","-38.1","-119","-20","-36","-100","-20","-33.5","-101","-20","-20","-20","-20"
"19500","-28.2","-100","-20","-92","-100","-20","-20.125","-21","-20","-50","-100","-20","-30","-100","-20","-44","-100","-20","-44.3","-101","-20","-29.2","-100","-20","-20.1","-21","-20","-20","-20","-20","-33.5","-101","-20","-20","-20","-20"
"20000","-28.2","-100","-20","-76.2","-100","-20","-30","-100","-20","-40.5","-100","-20","-30","-100","-20","-36.1","-100","-20","-36.3","-101","-20","-28.2","-100","-20","-36","-100","-20","-20","-20","-20","-47.166666666666664","-103","-20","-20","-20","-20"
"20500","-28.2","-100","-20","-68.4","-100","-20","-30","-100","-20","-60","-100","-20","-30","-100","-20","-36","-100","-20","-52.3","-101","-20","-28.4","-100","-20","-28","-100","-20","-20.2","-21","-20","-48.833333333333336","-110","-20","-20","-20","-20"
"21000","-28.2","-100","-20","-70.3","-119","-20","-30","-100","-20","-30.25","-100","-20","-30","-100","-20","-28.2","-100","-20","-36","-100","-20","-28.2","-100","-20","-28.1","-100","-20","-20.2","-21","-20","-33.5","-101","-20","-20","-20","-20"
