"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DDPG - eval/avg_reward","Group: DDPG - eval/avg_reward__MIN","Group: DDPG - eval/avg_reward__MAX"
"6000","-196.23160074510378","-547.4422980892339","-121.32624917084601","-172.20934763243784","-268.820574440668","-118.63814715128835","-270.84531329747233","-483.7116871234251","-121.35122174515914","-179.2461422314514","-408.4545706827713","-120.15487361662795","-171.48413266210906","-279.0240905528745","-123.07979520171996","-149.64349585728058","-207.6696561383741","-119.25350180535057","-251.4945173382045","-520.4982719498746","-121.0644403755401","-374.43325693883224","-627.8275938591639","-173.41091184694352","-269.2079478048656","-622.3493030159377","-122.07696603459704"
"6300","-159.33685215271177","-228.6545169940679","-121.76698291572507","-192.09223498523292","-273.2884261893084","-118.76516128664252","-244.95287020932255","-526.4279894424654","-123.71898901687166","-184.72152457034468","-338.55531572147345","-121.74930789875202","-150.28396115390473","-203.54279400877357","-119.46755459885833","-180.87103216021333","-304.2571893229522","-118.70939290882916","-243.97763965401083","-742.646977082067","-119.47053804704792","-496.37273209147077","-965.8969932810098","-234.0834028306712","-209.09529556969443","-369.08486306041954","-120.19492974974132"
"6600","-196.17003345577535","-629.8625621665828","-121.06570187103011","-164.68779036586437","-242.09644134285145","-119.16866152761656","-246.0274241301875","-457.87025191905093","-122.2402905399064","-173.78954081618662","-369.32667458303973","-120.8180849394261","-179.97121798506151","-309.7949008071518","-118.67707978003867","-191.0791553238192","-434.00779416931437","-120.2203296856587","-210.7485654363673","-413.4810472562881","-119.09682273142433","-386.0313059127919","-547.2381567321511","-194.73283915707265","-201.9094105026621","-348.41452098796253","-121.58220668376944"
"6900","-233.27531213122984","-582.5594008527872","-123.83855259805708","-161.21853145644434","-217.79978345941612","-119.23579473870443","-359.4674895916126","-991.755883330878","-121.94962327062986","-151.82696503927176","-204.67901849377705","-120.40848426038197","-153.09093762026288","-204.68181116879524","-119.32563066464881","-192.35137342768226","-366.4667566310644","-119.61587257577612","-221.41201552930426","-423.97425601852126","-119.9104256301051","-386.9112992458484","-519.1608537249414","-172.10025538380629","-179.02158144244802","-309.94288351269705","-120.1317237845542"
"7200","-189.91053606899698","-532.16137876042","-121.26759559887611","-190.63021438592378","-301.018958378766","-118.67029581563636","-201.98670340081296","-305.3831552972206","-123.2643189169186","-154.55529012857045","-202.67206155279217","-122.30804945414734","-150.58436114644672","-203.74097017296373","-121.64837497711824","-187.6040085747597","-372.0517058849388","-119.28253080766436","-172.72331266418942","-335.32479443199963","-119.6587875618875","-375.6250531771028","-700.5966607794741","-127.56341716465036","-266.7394846114713","-583.5863494646497","-123.62848984408204"
"7500","-201.16071512256968","-497.12175337881297","-121.97583423854378","-169.7180131405271","-293.69465103846693","-118.62342857661345","-220.1436851784211","-524.6114091224675","-123.28136361384436","-152.06290274933275","-205.68038618456086","-121.78097268900831","-152.02331259007912","-200.42566579813007","-119.85789427384694","-164.34060210826507","-302.6198039387194","-118.90494605826025","-208.67670438994173","-450.43756858446505","-120.93576123970922","-419.46311299158896","-591.2365348476726","-176.19933555182914","-193.62902301422625","-390.3885524218769","-123.1178947095273"
"7800","-198.31541252357755","-442.2498366527958","-121.42274410403408","-169.35208318639354","-356.10026824838235","-118.56557050946421","-175.80392428264813","-245.6472986434645","-122.466021960999","-151.50461947211602","-206.67167956815484","-120.58955992961951","-160.69429475390496","-202.65443984462618","-120.71981457248526","-161.69047694108218","-244.16107289079827","-119.09630703704279","-220.7492437575501","-486.25265350067764","-120.32757873852697","-374.2838883276921","-587.3505352012842","-189.96047144828307","-177.09052898443178","-375.94981120760184","-122.58929419383207"
"8100","-201.09013505359798","-396.5919403414382","-120.90970573317031","-168.41473834183287","-285.0553978898263","-119.15954211645064","-222.87528872649114","-504.05876531989253","-118.66152604220693","-149.78065025985728","-207.47039688170904","-119.88079039147706","-152.53306962462648","-208.79070790631854","-119.14139027706965","-186.61298694579392","-374.78112639005104","-119.81180778714095","-221.3592295705224","-463.00942336874715","-118.66827288636355","-387.72290379216315","-576.8532631656375","-206.49719709130835","-219.21786365878128","-630.9974951751676","-123.53678877364646"
"8400","-223.37244534974894","-571.2095997670024","-123.31262404287875","-217.6496258885357","-426.33925692883486","-122.20169722357589","-174.1253652253647","-303.9307289911506","-126.18932732616466","-150.3431552613207","-206.25793775555059","-120.20477774796663","-159.95773754816378","-213.41388963003618","-119.58814860830066","-172.43842048259717","-405.5065179710869","-120.90568438418696","-244.00651635785556","-593.8803090424994","-119.77263441811263","-372.496419932976","-610.8526822817008","-127.03718917728854","-196.93592838696586","-360.7063897447736","-122.52806730000793"
"8700","-199.9562044666001","-474.59007562122486","-121.33259737886416","-192.4646592460877","-398.7233107310793","-119.22773365758303","-214.44988851721055","-502.531303079552","-118.99437730522155","-149.10681490861003","-205.14087213140152","-118.94344121387068","-154.88609477023863","-212.4278801088874","-120.39185364172022","-177.68463591588443","-272.7936762141261","-120.10984718857335","-180.57109765855495","-312.5591590956616","-121.1180162999801","-437.71073976602213","-668.9204925322929","-150.53677233277514","-173.3238672472717","-298.45452671921623","-122.21751367745387"
