"Step","DQN_UTE_ZigZag_19 - eval/avg_reward","DQN_UTE_ZigZag_19 - eval/avg_reward__MIN","DQN_UTE_ZigZag_19 - eval/avg_reward__MAX","DQN_UTE_ZigZag_18 - eval/avg_reward","DQN_UTE_ZigZag_18 - eval/avg_reward__MIN","DQN_UTE_ZigZag_18 - eval/avg_reward__MAX","DQN_UTE_ZigZag_17 - eval/avg_reward","DQN_UTE_ZigZag_17 - eval/avg_reward__MIN","DQN_UTE_ZigZag_17 - eval/avg_reward__MAX","DQN_UTE_ZigZag_16 - eval/avg_reward","DQN_UTE_ZigZag_16 - eval/avg_reward__MIN","DQN_UTE_ZigZag_16 - eval/avg_reward__MAX","DQN_UTE_ZigZag_15 - eval/avg_reward","DQN_UTE_ZigZag_15 - eval/avg_reward__MIN","DQN_UTE_ZigZag_15 - eval/avg_reward__MAX","DQN_UTE_ZigZag_14 - eval/avg_reward","DQN_UTE_ZigZag_14 - eval/avg_reward__MIN","DQN_UTE_ZigZag_14 - eval/avg_reward__MAX","DQN_UTE_ZigZag_13 - eval/avg_reward","DQN_UTE_ZigZag_13 - eval/avg_reward__MIN","DQN_UTE_ZigZag_13 - eval/avg_reward__MAX","DQN_UTE_ZigZag_12 - eval/avg_reward","DQN_UTE_ZigZag_12 - eval/avg_reward__MIN","DQN_UTE_ZigZag_12 - eval/avg_reward__MAX","DQN_UTE_ZigZag_11 - eval/avg_reward","DQN_UTE_ZigZag_11 - eval/avg_reward__MIN","DQN_UTE_ZigZag_11 - eval/avg_reward__MAX","DQN_UTE_ZigZag_10 - eval/avg_reward","DQN_UTE_ZigZag_10 - eval/avg_reward__MIN","DQN_UTE_ZigZag_10 - eval/avg_reward__MAX","DQN_UTE_ZigZag_9 - eval/avg_reward","DQN_UTE_ZigZag_9 - eval/avg_reward__MIN","DQN_UTE_ZigZag_9 - eval/avg_reward__MAX","DQN_UTE_ZigZag_8 - eval/avg_reward","DQN_UTE_ZigZag_8 - eval/avg_reward__MIN","DQN_UTE_ZigZag_8 - eval/avg_reward__MAX","DQN_UTE_ZigZag_7 - eval/avg_reward","DQN_UTE_ZigZag_7 - eval/avg_reward__MIN","DQN_UTE_ZigZag_7 - eval/avg_reward__MAX","DQN_UTE_ZigZag_6 - eval/avg_reward","DQN_UTE_ZigZag_6 - eval/avg_reward__MIN","DQN_UTE_ZigZag_6 - eval/avg_reward__MAX","DQN_UTE_ZigZag_5 - eval/avg_reward","DQN_UTE_ZigZag_5 - eval/avg_reward__MIN","DQN_UTE_ZigZag_5 - eval/avg_reward__MAX","DQN_UTE_ZigZag_4 - eval/avg_reward","DQN_UTE_ZigZag_4 - eval/avg_reward__MIN","DQN_UTE_ZigZag_4 - eval/avg_reward__MAX","DQN_UTE_ZigZag_3 - eval/avg_reward","DQN_UTE_ZigZag_3 - eval/avg_reward__MIN","DQN_UTE_ZigZag_3 - eval/avg_reward__MAX","DQN_UTE_ZigZag_2 - eval/avg_reward","DQN_UTE_ZigZag_2 - eval/avg_reward__MIN","DQN_UTE_ZigZag_2 - eval/avg_reward__MAX","DQN_UTE_ZigZag_1 - eval/avg_reward","DQN_UTE_ZigZag_1 - eval/avg_reward__MIN","DQN_UTE_ZigZag_1 - eval/avg_reward__MAX","DQN_UTE_ZigZag_0 - eval/avg_reward","DQN_UTE_ZigZag_0 - eval/avg_reward__MIN","DQN_UTE_ZigZag_0 - eval/avg_reward__MAX"
"10200","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"10500","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"10800","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"11100","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20"
"11400","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-114","-114","-114","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"11700","-22","-22","-22","-20","-20","-20","-25","-25","-25","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"12000","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-22","-22","-22","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"12300","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-22","-22","-22","-100","-100","-100"
"12600","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
"12900","-22","-22","-22","-20","-20","-20","-22","-22","-22","-20","-20","-20","-20","-20","-20","-22","-22","-22","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-100","-100","-100","-20","-20","-20","-20","-20","-20","-100","-100","-100"
