"Step","DQN_TempoRL_CliffWalking_100 - eval/avg_reward","DQN_TempoRL_CliffWalking_100 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_100 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_90 - eval/avg_reward","DQN_TempoRL_CliffWalking_90 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_90 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_80 - eval/avg_reward","DQN_TempoRL_CliffWalking_80 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_80 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_70 - eval/avg_reward","DQN_TempoRL_CliffWalking_70 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_70 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_60 - eval/avg_reward","DQN_TempoRL_CliffWalking_60 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_60 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_50 - eval/avg_reward","DQN_TempoRL_CliffWalking_50 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_50 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_40 - eval/avg_reward","DQN_TempoRL_CliffWalking_40 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_40 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_30 - eval/avg_reward","DQN_TempoRL_CliffWalking_30 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_30 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_20 - eval/avg_reward","DQN_TempoRL_CliffWalking_20 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_20 - eval/avg_reward__MAX","DQN_TempoRL_CliffWalking_10 - eval/avg_reward","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MIN","DQN_TempoRL_CliffWalking_10 - eval/avg_reward__MAX"
"10000","-15","-15","-15","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"10500","-15","-15","-15","-17","-17","-17","-13","-13","-13","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11000","-13","-13","-13","-17","-17","-17","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"11500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-15","-15","-15"
"12000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"12500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"13500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-14","-14","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"14500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-15","-15","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
