"Step","Group: UTE_2 - eval/average_reward","Group: UTE_2 - eval/average_reward__MIN","Group: UTE_2 - eval/average_reward__MAX","Group: UTE_-2 - eval/average_reward","Group: UTE_-2 - eval/average_reward__MIN","Group: UTE_-2 - eval/average_reward__MAX","Group: EQL_uniform - eval/average_reward","Group: EQL_uniform - eval/average_reward__MIN","Group: EQL_uniform - eval/average_reward__MAX","Group: EQL_geo03 - eval/average_reward","Group: EQL_geo03 - eval/average_reward__MIN","Group: EQL_geo03 - eval/average_reward__MAX","Group: TempoRL - eval/average_reward","Group: TempoRL - eval/average_reward__MIN","Group: TempoRL - eval/average_reward__MAX","Group: DDPG - eval/average_reward","Group: DDPG - eval/average_reward__MIN","Group: DDPG - eval/average_reward__MAX"
"14100","-395.39377415425","-533.5310474542044","-196.55930958293024","-305.565169045947","-450.69722129231525","-178.6904307084059","-156.31892088443368","-208.73312014020445","-118.60882016853523","-158.61602153087713","-193.97825367181733","-118.94324226198474","-330.8616539052856","-596.1039455115941","-133.57389593427592","-183.30364366895068","-380.9034249174165","-119.61820647208717"
"14400","-367.4085767124201","-586.234586045621","-139.35945524514128","-243.1154213408368","-402.9892854984211","-138.8402141150901","-184.12218516064095","-479.7176136104466","-119.31680145594719","-154.34134408145408","-194.02821317021883","-119.24755187267385","-352.2187394475694","-717.5750364435505","-133.4029397118043","-154.29937624511095","-196.9292882215313","-126.01513305870807"
"14700","-381.82847332169257","-598.7602647293681","-160.3455631943535","-261.2140823745868","-486.1548629955026","-136.62171813241804","-155.4996321163934","-206.69689799617998","-118.9982272457956","-160.5747205146209","-206.1306736225461","-125.99954433186456","-359.42775754811925","-582.9935975877587","-132.98813572085916","-154.48672777701836","-199.15647736713683","-120.06215042333312"
"15000","-390.1421831121265","-613.326004157775","-153.72230939853264","-256.6619879369202","-423.67076380382724","-127.25400495977821","-155.27005670401974","-210.75703656237073","-119.17234236019712","-209.61529177980088","-662.696367685405","-122.46413740572787","-407.77846981955037","-579.8586331108925","-147.0307003694739","-218.95992223340264","-790.4654307061588","-122.37506522250843"
"15300","-364.3850064750776","-536.5996349776266","-146.8859118867465","-304.74310699268506","-522.9022616786376","-163.8636107225325","-154.54741123340088","-198.78376867836798","-119.0160709580401","-156.22129681074324","-201.36346422801785","-120.89064821277525","-329.21412548415674","-501.31368244727275","-169.98429882308017","-188.8382591462053","-457.41467350832926","-119.76756564683856"
"15600","-328.8281910370166","-571.0371994548648","-135.9802066720333","-302.1788987553645","-512.9556011654643","-167.88051113386206","-155.6563919943414","-202.1621228009871","-120.32110641377506","-161.93416713116017","-233.66666578378323","-123.1644121186273","-324.28745924877126","-506.9710489589979","-164.0366252577574","-154.64754550566602","-197.28655585961164","-122.61486982299377"
"15900","-298.28658755129993","-525.5382002587485","-135.41107750600182","-243.48726312991965","-469.0668177920309","-137.30141089524594","-155.83216592511306","-195.02950752741117","-120.20150075559067","-173.9728775989781","-270.6907189762755","-124.34423084676416","-368.4920718021632","-610.3550650376284","-135.26783057879413","-174.48491284716073","-391.9338974086557","-122.9864730840076"
"16200","-397.37642395078495","-591.8013598919184","-157.88519765743018","-264.27488563493114","-440.0478021833161","-125.38554093760808","-157.8415907086653","-219.7319360480522","-119.08195265441934","-160.714854776243","-212.79733774837055","-122.0055780289027","-405.4024092252255","-525.185822566546","-180.6912906668906","-156.15412148767575","-192.8665810612063","-120.68682797858044"
"16500","-319.99358916061465","-517.415565907876","-149.41193830346177","-228.21486203662494","-505.74636797992787","-126.74310899777224","-157.47023276617153","-198.32389646882157","-120.00083273581379","-160.74677514589484","-205.87382299953552","-123.53272983779217","-422.4335058729813","-754.331229325042","-170.53384400443284","-154.4306785594098","-200.68071091434788","-124.89769588573772"
"16800","-444.78134511331626","-627.828760147733","-293.2823063713237","-260.609276033171","-492.9434874484897","-136.2859785496047","-158.65701449025502","-197.9193185299678","-119.2913689586331","-166.8448637837768","-219.8490952098899","-120.96893276727467","-381.3391729172415","-511.31402468289633","-120.11675625655857","-153.42231797120772","-201.14948646018715","-122.63628532649605"
