"Step","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_9 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_8 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_7 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_6 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_5 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_4 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_3 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_2 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_1 - eval/avg_reward__MAX","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MIN","DDPG_EQL_FetchReachDense-v4_0 - eval/avg_reward__MAX"
"14000","-6.4185913411500435","-6.4185913411500435","-6.4185913411500435","-2.2257758474213545","-2.2257758474213545","-2.2257758474213545","-2.3482603774589683","-2.3482603774589683","-2.3482603774589683","-3.0598293938599173","-3.0598293938599173","-3.0598293938599173","-4.233889196559831","-4.233889196559831","-4.233889196559831","-4.800572334851305","-4.800572334851305","-4.800572334851305","-2.033977486936405","-2.033977486936405","-2.033977486936405","-1.70429162350598","-1.70429162350598","-1.70429162350598","-3.1914205465831023","-3.1914205465831023","-3.1914205465831023","-1.8348576874504108","-1.8348576874504108","-1.8348576874504108"
"14500","-6.913030688799945","-6.913030688799945","-6.913030688799945","-2.948868065478036","-2.948868065478036","-2.948868065478036","-1.4187491396568745","-1.4187491396568745","-1.4187491396568745","-4.21692509781394","-4.21692509781394","-4.21692509781394","-2.4169549843109817","-2.4169549843109817","-2.4169549843109817","-2.23730887507774","-2.23730887507774","-2.23730887507774","-1.6506047474202419","-1.6506047474202419","-1.6506047474202419","-2.446301395961149","-2.446301395961149","-2.446301395961149","-2.0994222088706618","-2.0994222088706618","-2.0994222088706618","-2.094416293723496","-2.094416293723496","-2.094416293723496"
"15000","-5.973328797001811","-5.973328797001811","-5.973328797001811","-3.304930551060572","-3.304930551060572","-3.304930551060572","-2.6102005921239706","-2.6102005921239706","-2.6102005921239706","-2.3911146480446184","-2.3911146480446184","-2.3911146480446184","-3.980970002689852","-3.980970002689852","-3.980970002689852","-3.2504139090253097","-3.2504139090253097","-3.2504139090253097","-1.7325320493698624","-1.7325320493698624","-1.7325320493698624","-2.8516315506841785","-2.8516315506841785","-2.8516315506841785","-2.5437295176390102","-2.5437295176390102","-2.5437295176390102","-4.044019248374669","-4.044019248374669","-4.044019248374669"
"15500","-8.367455097194004","-8.367455097194004","-8.367455097194004","-1.8697973363926372","-1.8697973363926372","-1.8697973363926372","-1.786909263436561","-1.786909263436561","-1.786909263436561","-2.190570465847777","-2.190570465847777","-2.190570465847777","-2.4096470088005266","-2.4096470088005266","-2.4096470088005266","-1.7355929760578401","-1.7355929760578401","-1.7355929760578401","-2.08610003315762","-2.08610003315762","-2.08610003315762","-2.7597872444211897","-2.7597872444211897","-2.7597872444211897","-3.841807681248837","-3.841807681248837","-3.841807681248837","-4.063517388468824","-4.063517388468824","-4.063517388468824"
"16000","-4.684092764858608","-4.684092764858608","-4.684092764858608","-2.544566297453877","-2.544566297453877","-2.544566297453877","-1.3103087424927304","-1.3103087424927304","-1.3103087424927304","-4.91517021594928","-4.91517021594928","-4.91517021594928","-2.378892792420576","-2.378892792420576","-2.378892792420576","-2.4317199487183063","-2.4317199487183063","-2.4317199487183063","-1.984879220707284","-1.984879220707284","-1.984879220707284","-1.7422550318064947","-1.7422550318064947","-1.7422550318064947","-2.0417465948344904","-2.0417465948344904","-2.0417465948344904","-3.9880468326881955","-3.9880468326881955","-3.9880468326881955"
"16500","-4.170695695637649","-4.170695695637649","-4.170695695637649","-2.8183289278006898","-2.8183289278006898","-2.8183289278006898","-2.760536811928762","-2.760536811928762","-2.760536811928762","-3.693236716249962","-3.693236716249962","-3.693236716249962","-2.2568104702595186","-2.2568104702595186","-2.2568104702595186","-1.7314962737226438","-1.7314962737226438","-1.7314962737226438","-2.150612932110481","-2.150612932110481","-2.150612932110481","-2.6080059100848763","-2.6080059100848763","-2.6080059100848763","-5.404875043067468","-5.404875043067468","-5.404875043067468","-5.615931680522128","-5.615931680522128","-5.615931680522128"
"17000","-4.1327689730850174","-4.1327689730850174","-4.1327689730850174","-1.73793650513914","-1.73793650513914","-1.73793650513914","-1.387271904849957","-1.387271904849957","-1.387271904849957","-2.443340714275326","-2.443340714275326","-2.443340714275326","-2.9470346797357805","-2.9470346797357805","-2.9470346797357805","-2.3947959041904685","-2.3947959041904685","-2.3947959041904685","-2.275799205579031","-2.275799205579031","-2.275799205579031","-1.3747065640667049","-1.3747065640667049","-1.3747065640667049","-1.718300561479507","-1.718300561479507","-1.718300561479507","-4.875290398024336","-4.875290398024336","-4.875290398024336"
"17500","-4.696438838915817","-4.696438838915817","-4.696438838915817","-4.076167824918814","-4.076167824918814","-4.076167824918814","-1.3647539270385807","-1.3647539270385807","-1.3647539270385807","-2.0980058020064245","-2.0980058020064245","-2.0980058020064245","-3.8462831603130594","-3.8462831603130594","-3.8462831603130594","-3.2310385322347983","-3.2310385322347983","-3.2310385322347983","-1.832844474328479","-1.832844474328479","-1.832844474328479","-1.984185615108969","-1.984185615108969","-1.984185615108969","-1.7261337616834922","-1.7261337616834922","-1.7261337616834922","-2.6802170011503135","-2.6802170011503135","-2.6802170011503135"
"18000","-4.635460581755011","-4.635460581755011","-4.635460581755011","-2.047191067695625","-2.047191067695625","-2.047191067695625","-1.3712175986223947","-1.3712175986223947","-1.3712175986223947","-2.1728796876901595","-2.1728796876901595","-2.1728796876901595","-2.5929195900257467","-2.5929195900257467","-2.5929195900257467","-3.5157637584862202","-3.5157637584862202","-3.5157637584862202","-1.906905218301707","-1.906905218301707","-1.906905218301707","-3.7737098746669835","-3.7737098746669835","-3.7737098746669835","-2.060200238193283","-2.060200238193283","-2.060200238193283","-2.1861679810286097","-2.1861679810286097","-2.1861679810286097"
"18500","-5.162451514477677","-5.162451514477677","-5.162451514477677","-1.73018363100297","-1.73018363100297","-1.73018363100297","-1.4751823528179302","-1.4751823528179302","-1.4751823528179302","-2.4530832814249393","-2.4530832814249393","-2.4530832814249393","-2.6369264745624648","-2.6369264745624648","-2.6369264745624648","-2.1523017409525513","-2.1523017409525513","-2.1523017409525513","-1.6558164325477136","-1.6558164325477136","-1.6558164325477136","-2.0403364690955628","-2.0403364690955628","-2.0403364690955628","-1.8783013775468482","-1.8783013775468482","-1.8783013775468482","-3.4072199802328704","-3.4072199802328704","-3.4072199802328704"
