"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"6000","-151.4841367149452","-151.4841367149452","-151.4841367149452","-172.02040495439206","-172.02040495439206","-172.02040495439206","-121.14497823815903","-121.14497823815903","-121.14497823815903","-263.7494608410385","-263.7494608410385","-263.7494608410385","-172.03484935972293","-172.03484935972293","-172.03484935972293","-123.05021933400624","-123.05021933400624","-123.05021933400624","-326.0163481248161","-326.0163481248161","-326.0163481248161","-121.85879994194636","-121.85879994194636","-121.85879994194636","-222.71094774751788","-222.71094774751788","-222.71094774751788","-154.6149582201224","-154.6149582201224","-154.6149582201224"
"6300","-308.0321561722777","-308.0321561722777","-308.0321561722777","-171.8602423021709","-171.8602423021709","-171.8602423021709","-121.72362092778769","-121.72362092778769","-121.72362092778769","-208.32545253479867","-208.32545253479867","-208.32545253479867","-170.06064120624305","-170.06064120624305","-170.06064120624305","-194.93993535747623","-194.93993535747623","-194.93993535747623","-171.58950718565578","-171.58950718565578","-171.58950718565578","-119.76487539338557","-119.76487539338557","-119.76487539338557","-222.40576304773927","-222.40576304773927","-222.40576304773927","-128.0655019039031","-128.0655019039031","-128.0655019039031"
"6600","-149.04020907371836","-149.04020907371836","-149.04020907371836","-173.49241943291125","-173.49241943291125","-173.49241943291125","-120.51248450790408","-120.51248450790408","-120.51248450790408","-208.04534782770187","-208.04534782770187","-208.04534782770187","-172.89392599879676","-172.89392599879676","-172.89392599879676","-224.22546279616495","-224.22546279616495","-224.22546279616495","-143.87086885559532","-143.87086885559532","-143.87086885559532","-119.815377401241","-119.815377401241","-119.815377401241","-169.74877440724148","-169.74877440724148","-169.74877440724148","-203.8328602625729","-203.8328602625729","-203.8328602625729"
"6900","-150.5340256565262","-150.5340256565262","-150.5340256565262","-173.61600459063988","-173.61600459063988","-173.61600459063988","-123.24030020631967","-123.24030020631967","-123.24030020631967","-234.46674606577804","-234.46674606577804","-234.46674606577804","-170.35711618192008","-170.35711618192008","-170.35711618192008","-280.11527390816093","-280.11527390816093","-280.11527390816093","-143.32497065412196","-143.32497065412196","-143.32497065412196","-121.56091171961775","-121.56091171961775","-121.56091171961775","-196.3360511708942","-196.3360511708942","-196.3360511708942","-124.4641467604838","-124.4641467604838","-124.4641467604838"
"7200","-149.39549575553454","-149.39549575553454","-149.39549575553454","-170.90828007547285","-170.90828007547285","-170.90828007547285","-120.82467234022302","-120.82467234022302","-120.82467234022302","-207.34020098822788","-207.34020098822788","-207.34020098822788","-171.7656349327968","-171.7656349327968","-171.7656349327968","-122.4505464597892","-122.4505464597892","-122.4505464597892","-142.35209347790993","-142.35209347790993","-142.35209347790993","-224.70617251234745","-224.70617251234745","-224.70617251234745","-198.64177439171672","-198.64177439171672","-198.64177439171672","-124.33884783494594","-124.33884783494594","-124.33884783494594"
"7500","-149.7484917745551","-149.7484917745551","-149.7484917745551","-173.67836463041667","-173.67836463041667","-173.67836463041667","-249.17599220670473","-249.17599220670473","-249.17599220670473","-204.92006456899972","-204.92006456899972","-204.92006456899972","-172.59488781461533","-172.59488781461533","-172.59488781461533","-119.73592139232565","-119.73592139232565","-119.73592139232565","-142.31831579580637","-142.31831579580637","-142.31831579580637","-144.8602793919796","-144.8602793919796","-144.8602793919796","-173.89687741295407","-173.89687741295407","-173.89687741295407","-122.26078050228575","-122.26078050228575","-122.26078050228575"
"7800","-146.7202565268463","-146.7202565268463","-146.7202565268463","-172.85023237433967","-172.85023237433967","-172.85023237433967","-120.41677331085002","-120.41677331085002","-120.41677331085002","-206.11832521227058","-206.11832521227058","-206.11832521227058","-168.61710560936615","-168.61710560936615","-168.61710560936615","-175.52181901991727","-175.52181901991727","-175.52181901991727","-143.7005988095764","-143.7005988095764","-143.7005988095764","-118.30522505309906","-118.30522505309906","-118.30522505309906","-224.14943309414434","-224.14943309414434","-224.14943309414434","-120.95105478804787","-120.95105478804787","-120.95105478804787"
"8100","-145.12211915338796","-145.12211915338796","-145.12211915338796","-170.50746827725175","-170.50746827725175","-170.50746827725175","-274.9718234784329","-274.9718234784329","-274.9718234784329","-231.81091910008413","-231.81091910008413","-231.81091910008413","-170.46616203348108","-170.46616203348108","-170.46616203348108","-120.5005215907045","-120.5005215907045","-120.5005215907045","-172.74937692219515","-172.74937692219515","-172.74937692219515","-119.42085761850679","-119.42085761850679","-119.42085761850679","-173.07147507938205","-173.07147507938205","-173.07147507938205","-121.81816790036127","-121.81816790036127","-121.81816790036127"
"8400","-145.9252574123818","-145.9252574123818","-145.9252574123818","-174.55877580773912","-174.55877580773912","-174.55877580773912","-249.03027718354923","-249.03027718354923","-249.03027718354923","-207.4050660869978","-207.4050660869978","-207.4050660869978","-170.55183803910185","-170.55183803910185","-170.55183803910185","-120.05852386552151","-120.05852386552151","-120.05852386552151","-141.37572774532688","-141.37572774532688","-141.37572774532688","-196.32766474612288","-196.32766474612288","-196.32766474612288","-175.5694862337681","-175.5694862337681","-175.5694862337681","-122.71025330328128","-122.71025330328128","-122.71025330328128"
"8700","-144.9436562511155","-144.9436562511155","-144.9436562511155","-173.85493587816902","-173.85493587816902","-173.85493587816902","-120.65633748462123","-120.65633748462123","-120.65633748462123","-205.07971254020822","-205.07971254020822","-205.07971254020822","-166.48898275020932","-166.48898275020932","-166.48898275020932","-122.6028013757611","-122.6028013757611","-122.6028013757611","-142.0392153106801","-142.0392153106801","-142.0392153106801","-143.62112258910287","-143.62112258910287","-143.62112258910287","-453.522491251001","-453.522491251001","-453.522491251001","-152.14704021620665","-152.14704021620665","-152.14704021620665"
"9000","-144.6303690821337","-144.6303690821337","-144.6303690821337","-173.94005212037186","-173.94005212037186","-173.94005212037186","-224.04347224983547","-224.04347224983547","-224.04347224983547","-228.91212273694882","-228.91212273694882","-228.91212273694882","-167.02259460012678","-167.02259460012678","-167.02259460012678","-121.30022122717321","-121.30022122717321","-121.30022122717321","-144.6851660884394","-144.6851660884394","-144.6851660884394","-143.90939442439588","-143.90939442439588","-143.90939442439588","-460.1543274505804","-460.1543274505804","-460.1543274505804","-121.78554578465037","-121.78554578465037","-121.78554578465037"
