"Step","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_TempoRL_Pendulum-v1_0 - eval/avg_reward__MAX"
"6000","-174.8838743042382","-174.8838743042382","-174.8838743042382","-178.6585705213168","-178.6585705213168","-178.6585705213168","-282.68410681356585","-282.68410681356585","-282.68410681356585","-239.63822217199058","-239.63822217199058","-239.63822217199058","-250.62202268851382","-250.62202268851382","-250.62202268851382","-253.8475426109772","-253.8475426109772","-253.8475426109772","-171.18626312503702","-171.18626312503702","-171.18626312503702","-146.9931203880564","-146.9931203880564","-146.9931203880564","-449.4851626425123","-449.4851626425123","-449.4851626425123","-123.07149347003126","-123.07149347003126","-123.07149347003126"
"6300","-154.98448533996157","-154.98448533996157","-154.98448533996157","-172.77033762151933","-172.77033762151933","-172.77033762151933","-406.9467398359599","-406.9467398359599","-406.9467398359599","-334.89574091523207","-334.89574091523207","-334.89574091523207","-545.8240616269275","-545.8240616269275","-545.8240616269275","-456.7995292260695","-456.7995292260695","-456.7995292260695","-145.80653218930087","-145.80653218930087","-145.80653218930087","-154.12864046066457","-154.12864046066457","-154.12864046066457","-446.9143528293424","-446.9143528293424","-446.9143528293424","-274.98915582016826","-274.98915582016826","-274.98915582016826"
"6600","-149.71915631060085","-149.71915631060085","-149.71915631060085","-227.27573649198843","-227.27573649198843","-227.27573649198843","-283.0536846397358","-283.0536846397358","-283.0536846397358","-390.33076516655694","-390.33076516655694","-390.33076516655694","-496.2937373948498","-496.2937373948498","-496.2937373948498","-449.8369939426674","-449.8369939426674","-449.8369939426674","-533.1305117585747","-533.1305117585747","-533.1305117585747","-125.04302228419517","-125.04302228419517","-125.04302228419517","-476.4022572920141","-476.4022572920141","-476.4022572920141","-125.66715883618681","-125.66715883618681","-125.66715883618681"
"6900","-152.95778769204753","-152.95778769204753","-152.95778769204753","-344.47953733879103","-344.47953733879103","-344.47953733879103","-457.6717381329216","-457.6717381329216","-457.6717381329216","-434.61679976225577","-434.61679976225577","-434.61679976225577","-582.9136606826645","-582.9136606826645","-582.9136606826645","-390.4381311065222","-390.4381311065222","-390.4381311065222","-301.95273043197227","-301.95273043197227","-301.95273043197227","-413.5232626495629","-413.5232626495629","-413.5232626495629","-423.2940895817916","-423.2940895817916","-423.2940895817916","-336.2417141474498","-336.2417141474498","-336.2417141474498"
"7200","-180.16218262884618","-180.16218262884618","-180.16218262884618","-279.5541121691855","-279.5541121691855","-279.5541121691855","-329.71492159676615","-329.71492159676615","-329.71492159676615","-263.3001804145154","-263.3001804145154","-263.3001804145154","-572.1068671315494","-572.1068671315494","-572.1068671315494","-487.42574363540854","-487.42574363540854","-487.42574363540854","-147.93472544160414","-147.93472544160414","-147.93472544160414","-579.0520359267337","-579.0520359267337","-579.0520359267337","-259.0789908681865","-259.0789908681865","-259.0789908681865","-226.2348930630676","-226.2348930630676","-226.2348930630676"
"7500","-176.44042277654995","-176.44042277654995","-176.44042277654995","-328.8540290560208","-328.8540290560208","-328.8540290560208","-405.58897030226615","-405.58897030226615","-405.58897030226615","-288.36733677943795","-288.36733677943795","-288.36733677943795","-610.9163417464038","-610.9163417464038","-610.9163417464038","-477.3352022196833","-477.3352022196833","-477.3352022196833","-148.94629180148732","-148.94629180148732","-148.94629180148732","-483.0777697220145","-483.0777697220145","-483.0777697220145","-543.9662006120876","-543.9662006120876","-543.9662006120876","-187.99121648086393","-187.99121648086393","-187.99121648086393"
"7800","-252.2533278877682","-252.2533278877682","-252.2533278877682","-250.98537446775725","-250.98537446775725","-250.98537446775725","-374.8678354687644","-374.8678354687644","-374.8678354687644","-355.83506369375306","-355.83506369375306","-355.83506369375306","-527.4554323980444","-527.4554323980444","-527.4554323980444","-448.86569173881946","-448.86569173881946","-448.86569173881946","-147.97523708962478","-147.97523708962478","-147.97523708962478","-514.1857304125825","-514.1857304125825","-514.1857304125825","-514.48999596217","-514.48999596217","-514.48999596217","-329.2950217141873","-329.2950217141873","-329.2950217141873"
"8100","-449.5820572721432","-449.5820572721432","-449.5820572721432","-441.0457150375829","-441.0457150375829","-441.0457150375829","-201.82233616303603","-201.82233616303603","-201.82233616303603","-489.37328428563507","-489.37328428563507","-489.37328428563507","-406.34602667000405","-406.34602667000405","-406.34602667000405","-450.32595215052686","-450.32595215052686","-450.32595215052686","-324.9633540517834","-324.9633540517834","-324.9633540517834","-401.45243632306756","-401.45243632306756","-401.45243632306756","-347.2296459512023","-347.2296459512023","-347.2296459512023","-385.4498645659638","-385.4498645659638","-385.4498645659638"
"8400","-604.1135744994673","-604.1135744994673","-604.1135744994673","-419.7477295921787","-419.7477295921787","-419.7477295921787","-383.1985661558895","-383.1985661558895","-383.1985661558895","-312.7992218721768","-312.7992218721768","-312.7992218721768","-464.41825199224195","-464.41825199224195","-464.41825199224195","-443.9567472772231","-443.9567472772231","-443.9567472772231","-274.2597097060094","-274.2597097060094","-274.2597097060094","-478.91734314547","-478.91734314547","-478.91734314547","-174.20127290878528","-174.20127290878528","-174.20127290878528","-514.0547625572055","-514.0547625572055","-514.0547625572055"
"8700","-205.7660809749526","-205.7660809749526","-205.7660809749526","-463.2521956008042","-463.2521956008042","-463.2521956008042","-527.92106985794","-527.92106985794","-527.92106985794","-413.69227969231906","-413.69227969231906","-413.69227969231906","-482.46786450087274","-482.46786450087274","-482.46786450087274","-450.9496715981122","-450.9496715981122","-450.9496715981122","-320.8641888331551","-320.8641888331551","-320.8641888331551","-461.91824316206856","-461.91824316206856","-461.91824316206856","-544.414419389813","-544.414419389813","-544.414419389813","-451.6179987312322","-451.6179987312322","-451.6179987312322"
"9000","-456.2081021228761","-456.2081021228761","-456.2081021228761","-494.8708444630203","-494.8708444630203","-494.8708444630203","-303.57541405318096","-303.57541405318096","-303.57541405318096","-569.2259815376881","-569.2259815376881","-569.2259815376881","-470.0397507666203","-470.0397507666203","-470.0397507666203","-374.36460135426097","-374.36460135426097","-374.36460135426097","-246.7941341192864","-246.7941341192864","-246.7941341192864","-653.1348470408162","-653.1348470408162","-653.1348470408162","-402.80632062892647","-402.80632062892647","-402.80632062892647","-355.57231670252423","-355.57231670252423","-355.57231670252423"
