"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"6000","-143.52091561425541","-143.52091561425541","-143.52091561425541","-171.85957937187294","-171.85957937187294","-171.85957937187294","-123.52419906030693","-123.52419906030693","-123.52419906030693","-197.13517292710878","-197.13517292710878","-197.13517292710878","-169.2940766377594","-169.2940766377594","-169.2940766377594","-140.7298370129892","-140.7298370129892","-140.7298370129892","-248.8213163974903","-248.8213163974903","-248.8213163974903","-148.24704171558295","-148.24704171558295","-148.24704171558295","-169.55327800830017","-169.55327800830017","-169.55327800830017","-148.8002545980767","-148.8002545980767","-148.8002545980767"
"6300","-144.14906676796068","-144.14906676796068","-144.14906676796068","-172.4379366968337","-172.4379366968337","-172.4379366968337","-121.26545068062126","-121.26545068062126","-121.26545068062126","-277.1526410783482","-277.1526410783482","-277.1526410783482","-170.29309934772337","-170.29309934772337","-170.29309934772337","-140.8054156277952","-140.8054156277952","-140.8054156277952","-142.87673073303128","-142.87673073303128","-142.87673073303128","-149.09437517666854","-149.09437517666854","-149.09437517666854","-170.59152772048844","-170.59152772048844","-170.59152772048844","-278.62452221565553","-278.62452221565553","-278.62452221565553"
"6600","-144.74046301367594","-144.74046301367594","-144.74046301367594","-220.74147877248893","-220.74147877248893","-220.74147877248893","-122.56019586558041","-122.56019586558041","-122.56019586558041","-273.2565880199506","-273.2565880199506","-273.2565880199506","-496.50108448475237","-496.50108448475237","-496.50108448475237","-141.39809533197615","-141.39809533197615","-141.39809533197615","-141.34326485480452","-141.34326485480452","-141.34326485480452","-122.25969454394208","-122.25969454394208","-122.25969454394208","-167.9409378005326","-167.9409378005326","-167.9409378005326","-124.3337917693505","-124.3337917693505","-124.3337917693505"
"6900","-148.98919224022126","-148.98919224022126","-148.98919224022126","-170.21994944881496","-170.21994944881496","-170.21994944881496","-121.35113699793723","-121.35113699793723","-121.35113699793723","-258.2741764461743","-258.2741764461743","-258.2741764461743","-171.94997379249187","-171.94997379249187","-171.94997379249187","-155.84518576835336","-155.84518576835336","-155.84518576835336","-419.78961472078083","-419.78961472078083","-419.78961472078083","-151.85345577195648","-151.85345577195648","-151.85345577195648","-169.30592435657866","-169.30592435657866","-169.30592435657866","-122.22995379699505","-122.22995379699505","-122.22995379699505"
"7200","-144.4969741667979","-144.4969741667979","-144.4969741667979","-171.15837814495407","-171.15837814495407","-171.15837814495407","-120.80921087926149","-120.80921087926149","-120.80921087926149","-402.3890423878961","-402.3890423878961","-402.3890423878961","-220.82530619800463","-220.82530619800463","-220.82530619800463","-140.53917792760546","-140.53917792760546","-140.53917792760546","-142.10933465064744","-142.10933465064744","-142.10933465064744","-147.31859333653122","-147.31859333653122","-147.31859333653122","-168.00208054127242","-168.00208054127242","-168.00208054127242","-303.3709535820998","-303.3709535820998","-303.3709535820998"
"7500","-145.29918884091944","-145.29918884091944","-145.29918884091944","-169.8308291024895","-169.8308291024895","-169.8308291024895","-125.44114202955184","-125.44114202955184","-125.44114202955184","-326.0966552260119","-326.0966552260119","-326.0966552260119","-172.87687250038547","-172.87687250038547","-172.87687250038547","-220.41890103060987","-220.41890103060987","-220.41890103060987","-143.6302297423274","-143.6302297423274","-143.6302297423274","-198.6068423389215","-198.6068423389215","-198.6068423389215","-168.3858970647454","-168.3858970647454","-168.3858970647454","-121.65364180487038","-121.65364180487038","-121.65364180487038"
"7800","-147.558609412965","-147.558609412965","-147.558609412965","-170.86042490740232","-170.86042490740232","-170.86042490740232","-124.32949487763736","-124.32949487763736","-124.32949487763736","-282.48594881554493","-282.48594881554493","-282.48594881554493","-171.65280023129023","-171.65280023129023","-171.65280023129023","-141.88006050785708","-141.88006050785708","-141.88006050785708","-140.7233092172416","-140.7233092172416","-140.7233092172416","-125.64581540530801","-125.64581540530801","-125.64581540530801","-169.44077994321907","-169.44077994321907","-169.44077994321907","-276.70869045020237","-276.70869045020237","-276.70869045020237"
"8100","-147.12741359472085","-147.12741359472085","-147.12741359472085","-169.5672200526318","-169.5672200526318","-169.5672200526318","-122.25637235464833","-122.25637235464833","-122.25637235464833","-302.07113075085056","-302.07113075085056","-302.07113075085056","-171.55183681775435","-171.55183681775435","-171.55183681775435","-143.7580203228454","-143.7580203228454","-143.7580203228454","-142.12643425512948","-142.12643425512948","-142.12643425512948","-124.05238482745976","-124.05238482745976","-124.05238482745976","-169.02312433155726","-169.02312433155726","-169.02312433155726","-376.585475096636","-376.585475096636","-376.585475096636"
"8400","-147.53458226523375","-147.53458226523375","-147.53458226523375","-170.38921487655335","-170.38921487655335","-170.38921487655335","-175.66615709479345","-175.66615709479345","-175.66615709479345","-428.54253372632354","-428.54253372632354","-428.54253372632354","-170.0143829263254","-170.0143829263254","-170.0143829263254","-171.41619813626218","-171.41619813626218","-171.41619813626218","-142.89745743894997","-142.89745743894997","-142.89745743894997","-128.144944846914","-128.144944846914","-128.144944846914","-167.5779335003047","-167.5779335003047","-167.5779335003047","-350.257075207778","-350.257075207778","-350.257075207778"
"8700","-149.47449458959505","-149.47449458959505","-149.47449458959505","-168.79732065704653","-168.79732065704653","-168.79732065704653","-248.69853355689256","-248.69853355689256","-248.69853355689256","-275.5040784483509","-275.5040784483509","-275.5040784483509","-218.336158901974","-218.336158901974","-218.336158901974","-119.34263981503352","-119.34263981503352","-119.34263981503352","-141.0672308244388","-141.0672308244388","-141.0672308244388","-151.64382189062576","-151.64382189062576","-151.64382189062576","-168.05074569054693","-168.05074569054693","-168.05074569054693","-122.11040899231723","-122.11040899231723","-122.11040899231723"
"9000","-148.5337653435593","-148.5337653435593","-148.5337653435593","-169.18516259697697","-169.18516259697697","-169.18516259697697","-122.62726568947463","-122.62726568947463","-122.62726568947463","-227.16756696332726","-227.16756696332726","-227.16756696332726","-167.00488314289132","-167.00488314289132","-167.00488314289132","-144.19738853559016","-144.19738853559016","-144.19738853559016","-140.87148288905172","-140.87148288905172","-140.87148288905172","-128.6549129819954","-128.6549129819954","-128.6549129819954","-194.32008552791936","-194.32008552791936","-194.32008552791936","-275.8128810161383","-275.8128810161383","-275.8128810161383"
"9300","-148.35371022715017","-148.35371022715017","-148.35371022715017","-168.5325063956581","-168.5325063956581","-168.5325063956581","-198.18176994282643","-198.18176994282643","-198.18176994282643","-401.43104592982473","-401.43104592982473","-401.43104592982473","-167.04038621182966","-167.04038621182966","-167.04038621182966","-119.88231833751217","-119.88231833751217","-119.88231833751217","-144.94419276814216","-144.94419276814216","-144.94419276814216","-178.8848053771056","-178.8848053771056","-178.8848053771056","-291.951565699797","-291.951565699797","-291.951565699797","-274.98570928266383","-274.98570928266383","-274.98570928266383"
