"Step","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_9 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_8 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_7 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_6 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_5 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_4 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_3 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_2 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_1 - eval/avg_reward__MAX","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MIN","DDPG_UTE_Pendulum-v1_0 - eval/avg_reward__MAX"
"6000","-178.07195708657395","-178.07195708657395","-178.07195708657395","-229.69716122265427","-229.69716122265427","-229.69716122265427","-483.9866440637296","-483.9866440637296","-483.9866440637296","-395.1524975740417","-395.1524975740417","-395.1524975740417","-169.56164495080742","-169.56164495080742","-169.56164495080742","-124.34710329151956","-124.34710329151956","-124.34710329151956","-622.3882152913627","-622.3882152913627","-622.3882152913627","-118.78369125023369","-118.78369125023369","-118.78369125023369","-169.53248780729524","-169.53248780729524","-169.53248780729524","-205.10146611776753","-205.10146611776753","-205.10146611776753"
"6300","-150.79250761646895","-150.79250761646895","-150.79250761646895","-420.1854217672155","-420.1854217672155","-420.1854217672155","-408.01540052312123","-408.01540052312123","-408.01540052312123","-290.1089748907681","-290.1089748907681","-290.1089748907681","-169.6769901208791","-169.6769901208791","-169.6769901208791","-121.81608639288291","-121.81608639288291","-121.81608639288291","-421.0135482979219","-421.0135482979219","-421.0135482979219","-250.7367195294775","-250.7367195294775","-250.7367195294775","-245.81547420980255","-245.81547420980255","-245.81547420980255","-189.67611120331975","-189.67611120331975","-189.67611120331975"
"6600","-445.2213520389223","-445.2213520389223","-445.2213520389223","-301.0545317293919","-301.0545317293919","-301.0545317293919","-343.3875810816917","-343.3875810816917","-343.3875810816917","-335.74237485973197","-335.74237485973197","-335.74237485973197","-198.06206881163044","-198.06206881163044","-198.06206881163044","-120.08703323821317","-120.08703323821317","-120.08703323821317","-349.0449648093887","-349.0449648093887","-349.0449648093887","-122.18558654534927","-122.18558654534927","-122.18558654534927","-167.88166898815967","-167.88166898815967","-167.88166898815967","-153.58166899808703","-153.58166899808703","-153.58166899808703"
"6900","-177.0233903484874","-177.0233903484874","-177.0233903484874","-279.7368053828704","-279.7368053828704","-279.7368053828704","-128.31914755074675","-128.31914755074675","-128.31914755074675","-215.89952925323277","-215.89952925323277","-215.89952925323277","-168.8647461694263","-168.8647461694263","-168.8647461694263","-119.82121913977016","-119.82121913977016","-119.82121913977016","-503.5632628043862","-503.5632628043862","-503.5632628043862","-472.8160395951025","-472.8160395951025","-472.8160395951025","-168.07136722487095","-168.07136722487095","-168.07136722487095","-304.35638984760647","-304.35638984760647","-304.35638984760647"
"7200","-151.47003325334276","-151.47003325334276","-151.47003325334276","-328.2638201430839","-328.2638201430839","-328.2638201430839","-428.81636136142754","-428.81636136142754","-428.81636136142754","-239.2562450216683","-239.2562450216683","-239.2562450216683","-258.5561302336919","-258.5561302336919","-258.5561302336919","-119.31898801667884","-119.31898801667884","-119.31898801667884","-168.95924520531744","-168.95924520531744","-168.95924520531744","-252.30080896827386","-252.30080896827386","-252.30080896827386","-232.03889101419023","-232.03889101419023","-232.03889101419023","-381.658086698669","-381.658086698669","-381.658086698669"
"7500","-275.71317747783627","-275.71317747783627","-275.71317747783627","-426.36653629567445","-426.36653629567445","-426.36653629567445","-219.27457638238275","-219.27457638238275","-219.27457638238275","-238.63340526704087","-238.63340526704087","-238.63340526704087","-225.15189566458284","-225.15189566458284","-225.15189566458284","-119.9987718388222","-119.9987718388222","-119.9987718388222","-143.38464866890672","-143.38464866890672","-143.38464866890672","-376.73303170049854","-376.73303170049854","-376.73303170049854","-196.48605356394893","-196.48605356394893","-196.48605356394893","-130.23317458061663","-130.23317458061663","-130.23317458061663"
"7800","-229.025104902742","-229.025104902742","-229.025104902742","-410.25785276385415","-410.25785276385415","-410.25785276385415","-129.54175585766137","-129.54175585766137","-129.54175585766137","-518.6247576588224","-518.6247576588224","-518.6247576588224","-225.6478697918555","-225.6478697918555","-225.6478697918555","-120.29885934241204","-120.29885934241204","-120.29885934241204","-167.78108223358197","-167.78108223358197","-167.78108223358197","-124.07547835643629","-124.07547835643629","-124.07547835643629","-173.5757706843477","-173.5757706843477","-173.5757706843477","-133.6734779295278","-133.6734779295278","-133.6734779295278"
"8100","-151.81623719983912","-151.81623719983912","-151.81623719983912","-225.27970786904635","-225.27970786904635","-225.27970786904635","-154.58934210105798","-154.58934210105798","-154.58934210105798","-291.3135583452804","-291.3135583452804","-291.3135583452804","-175.17425478792032","-175.17425478792032","-175.17425478792032","-120.56998178368549","-120.56998178368549","-120.56998178368549","-141.17402197593006","-141.17402197593006","-141.17402197593006","-150.27639862313555","-150.27639862313555","-150.27639862313555","-172.18553152294226","-172.18553152294226","-172.18553152294226","-179.38632145421593","-179.38632145421593","-179.38632145421593"
"8400","-201.82730025188272","-201.82730025188272","-201.82730025188272","-171.36013243682982","-171.36013243682982","-171.36013243682982","-561.7839907068549","-561.7839907068549","-561.7839907068549","-500.18846180020273","-500.18846180020273","-500.18846180020273","-174.69713780881145","-174.69713780881145","-174.69713780881145","-120.03571527632043","-120.03571527632043","-120.03571527632043","-167.05851343573096","-167.05851343573096","-167.05851343573096","-122.42904457546226","-122.42904457546226","-122.42904457546226","-173.97604576453327","-173.97604576453327","-173.97604576453327","-306.6745260742742","-306.6745260742742","-306.6745260742742"
"8700","-176.69381858988442","-176.69381858988442","-176.69381858988442","-170.23586749564666","-170.23586749564666","-170.23586749564666","-674.1365834398326","-674.1365834398326","-674.1365834398326","-489.6421408838711","-489.6421408838711","-489.6421408838711","-176.73573323187375","-176.73573323187375","-176.73573323187375","-119.96027238840846","-119.96027238840846","-119.96027238840846","-191.6029636175502","-191.6029636175502","-191.6029636175502","-120.62057355465645","-120.62057355465645","-120.62057355465645","-173.17866792613398","-173.17866792613398","-173.17866792613398","-126.72008200004252","-126.72008200004252","-126.72008200004252"
